signal_rule,date,fold_id,model,feature_set,total_eligible_anchors,long_count,short_count,flat_count,long_coverage_pct,short_coverage_pct,active_coverage_pct,long_short_balance
train_q10_q90,2024-07-01,1,qi_direct_baseline,qi_only,86398,8231,9555,68612,0.0952684089909,0.110592837797,0.205861246788,0.861433804291
train_q05_q95,2024-07-01,1,qi_direct_baseline,qi_only,86398,4339,5189,76870,0.0502210699322,0.060059260631,0.110280330563,0.836191944498
prediction_sign,2024-07-01,1,qi_direct_baseline,qi_only,86398,41585,44811,2,0.481319012014,0.518657839302,0.999976851316,0.928008747852
train_q10_q90,2024-07-01,1,lightgbm_qi_ofi,qi_ofi,86398,8454,9785,68159,0.0978494872566,0.113254936457,0.211104423714,0.863975472662
train_q05_q95,2024-07-01,1,lightgbm_qi_ofi,qi_ofi,86398,4118,5251,77029,0.0476631403505,0.0607768698349,0.108440010185,0.784231574938
prediction_sign,2024-07-01,1,lightgbm_qi_ofi,qi_ofi,86398,41035,45361,2,0.474953123915,0.525023727401,0.999976851316,0.904631732105
train_q10_q90,2024-07-01,1,lightgbm_extended,extended_book_flow,86398,8580,9614,68204,0.0993078543485,0.111275723975,0.210583578324,0.892448512586
train_q05_q95,2024-07-01,1,lightgbm_extended,extended_book_flow,86398,4143,4720,77535,0.0479524989004,0.0546308942337,0.102583393134,0.877754237288
prediction_sign,2024-07-01,1,lightgbm_extended,extended_book_flow,86398,40071,46325,2,0.463795458228,0.536181393088,0.999976851316,0.864997301673
train_q10_q90,2024-08-01,2,qi_direct_baseline,qi_only,86398,7203,6283,72912,0.0833699854163,0.0727215907776,0.156091576194,1.14642686615
train_q05_q95,2024-08-01,2,qi_direct_baseline,qi_only,86398,3914,3534,78950,0.0453019745827,0.0409037246233,0.086205699206,1.10752688172
prediction_sign,2024-08-01,2,qi_direct_baseline,qi_only,86398,43436,42960,2,0.502743119054,0.497233732262,0.999976851316,1.01108007449
train_q10_q90,2024-08-01,2,lightgbm_qi_ofi,qi_ofi,86398,10857,10412,65129,0.125662631079,0.12051204889,0.246174679969,1.04273914714
train_q05_q95,2024-08-01,2,lightgbm_qi_ofi,qi_ofi,86398,5240,5479,75679,0.060649552073,0.0634158198106,0.124065371884,0.956378901259
prediction_sign,2024-08-01,2,lightgbm_qi_ofi,qi_ofi,86398,43403,42993,2,0.502361165768,0.497615685548,0.999976851316,1.00953643616
train_q10_q90,2024-08-01,2,lightgbm_extended,extended_book_flow,86398,10836,10727,64835,0.125419569897,0.12415796662,0.249577536517,1.01016127529
train_q05_q95,2024-08-01,2,lightgbm_extended,extended_book_flow,86398,5156,4918,76324,0.0596773073451,0.0569226139494,0.116599921294,1.04839365596
prediction_sign,2024-08-01,2,lightgbm_extended,extended_book_flow,86398,42964,43432,2,0.49728002963,0.502696821686,0.999976851316,0.989224534905
train_q10_q90,2024-09-01,3,qi_direct_baseline,qi_only,86395,18793,17209,50393,0.217524162278,0.199189767926,0.416713930204,1.09204486025
train_q05_q95,2024-09-01,3,qi_direct_baseline,qi_only,86395,12280,10771,63344,0.1421378552,0.124671566642,0.266809421842,1.1400984124
prediction_sign,2024-09-01,3,qi_direct_baseline,qi_only,86395,42514,43879,2,0.492088662538,0.507888187974,0.999976850512,0.968891724971
train_q10_q90,2024-09-01,3,lightgbm_qi_ofi,qi_ofi,86395,13459,11955,60981,0.155784478268,0.13837606343,0.294160541698,1.12580510247
train_q05_q95,2024-09-01,3,lightgbm_qi_ofi,qi_ofi,86395,8983,9082,68330,0.103975924533,0.10512182418,0.209097748712,0.989099317331
prediction_sign,2024-09-01,3,lightgbm_qi_ofi,qi_ofi,86395,42843,43550,2,0.495896753284,0.504080097228,0.999976850512,0.983765786452
train_q10_q90,2024-09-01,3,lightgbm_extended,extended_book_flow,86395,12686,11521,62188,0.146837201227,0.133352624573,0.2801898258,1.10111969447
train_q05_q95,2024-09-01,3,lightgbm_extended,extended_book_flow,86395,8141,7778,70476,0.0942299901615,0.0900283581226,0.184258348284,1.04667009514
prediction_sign,2024-09-01,3,lightgbm_extended,extended_book_flow,86395,42449,43944,2,0.491336304184,0.508640546328,0.999976850512,0.965979428363
train_q10_q90,2024-10-01,4,qi_direct_baseline,qi_only,86397,10501,9735,66161,0.121543572115,0.112677523525,0.23422109564,1.07868515665
train_q05_q95,2024-10-01,4,qi_direct_baseline,qi_only,86397,5962,6231,74204,0.0690070257069,0.0721205597417,0.141127585449,0.956828759429
prediction_sign,2024-10-01,4,qi_direct_baseline,qi_only,86397,43410,42985,2,0.502448001667,0.497528849381,0.999976851048,1.00988716994
train_q10_q90,2024-10-01,4,lightgbm_qi_ofi,qi_ofi,86397,10060,10353,65984,0.116439228214,0.119830549672,0.236269777886,0.971699024437
train_q05_q95,2024-10-01,4,lightgbm_qi_ofi,qi_ofi,86397,6033,5940,74424,0.0698288135005,0.0687523872357,0.138581200736,1.01565656566
prediction_sign,2024-10-01,4,lightgbm_qi_ofi,qi_ofi,86397,43267,43128,2,0.500792851604,0.499183999444,0.999976851048,1.0032229642
train_q10_q90,2024-10-01,4,lightgbm_extended,extended_book_flow,86397,10832,11546,64019,0.125374723659,0.133638899499,0.259013623158,0.938160401871
train_q05_q95,2024-10-01,4,lightgbm_extended,extended_book_flow,86397,6272,6510,73615,0.0725951132562,0.0753498385361,0.147944951792,0.963440860215
prediction_sign,2024-10-01,4,lightgbm_extended,extended_book_flow,86397,43412,42983,2,0.502471150619,0.497505700429,0.999976851048,1.00998069004
