date,fold_id,model,signal,count,mean_future_mid_return,median_future_mid_return,p_return_gt_0,p_return_lt_0,mean_signed_future_mid_return,median_signed_future_mid_return,positive_signed_fraction
2024-07-01,1,qi_direct_baseline,SHORT,9555,-2.72145761474e-05,0,0.00586080586081,0.351543694401,2.72145761474e-05,0,0.351543694401
2024-07-01,1,qi_direct_baseline,FLAT,68612,2.60091228767e-07,0,0.0597271614295,0.0588818282516,0,0,0
2024-07-01,1,qi_direct_baseline,LONG,8231,2.96501578343e-05,0,0.386951767707,0.00485967683149,2.96501578343e-05,0,0.386951767707
2024-07-01,1,qi_direct_baseline,LONG_MINUS_SHORT,17786,5.68647339817e-05,0,,,,,
2024-07-01,1,lightgbm_qi_ofi,SHORT,9785,-2.75841022435e-05,0,0.0096065406234,0.362493612672,2.75841022435e-05,0,0.362493612672
2024-07-01,1,lightgbm_qi_ofi,FLAT,68159,1.37021038217e-07,0,0.0574245514165,0.0561334526622,0,0,0
2024-07-01,1,lightgbm_qi_ofi,LONG,8454,3.10423204333e-05,0,0.394014667613,0.00780695528744,3.10423204333e-05,0,0.394014667613
2024-07-01,1,lightgbm_qi_ofi,LONG_MINUS_SHORT,18239,5.86264226768e-05,0,,,,,
2024-07-01,1,lightgbm_extended,SHORT,9614,-2.88427456644e-05,0,0.00977740794674,0.376222175993,2.88427456644e-05,0,0.376222175993
2024-07-01,1,lightgbm_extended,FLAT,68204,7.12501467374e-08,0,0.0553193361093,0.0550260981761,0,0,0
2024-07-01,1,lightgbm_extended,LONG,8580,3.19691334782e-05,0,0.404662004662,0.00804195804196,3.19691334782e-05,0,0.404662004662
2024-07-01,1,lightgbm_extended,LONG_MINUS_SHORT,18194,6.08118791426e-05,0,,,,,
2024-08-01,2,qi_direct_baseline,SHORT,6283,-5.35655129522e-05,-3.10341014896e-05,0.0319910870603,0.613082922171,5.35655129522e-05,3.10341014896e-05,0.613082922171
2024-08-01,2,qi_direct_baseline,FLAT,72912,-4.71537867901e-07,0,0.14129361422,0.148041474654,0,0,0
2024-08-01,2,qi_direct_baseline,LONG,7203,5.30478873683e-05,3.07407121367e-05,0.592392058864,0.0358184089963,5.30478873683e-05,3.07407121367e-05,0.592392058864
2024-08-01,2,qi_direct_baseline,LONG_MINUS_SHORT,13486,0.000106613400321,6.17748136262e-05,,,,,
2024-08-01,2,lightgbm_qi_ofi,SHORT,10412,-4.63582253548e-05,-1.97822081564e-05,0.0390895121014,0.544275835574,4.63582253548e-05,1.97822081564e-05,0.544275835574
2024-08-01,2,lightgbm_qi_ofi,FLAT,65129,-3.1727509382e-07,0,0.129957469023,0.134778670024,0,0,0
2024-08-01,2,lightgbm_qi_ofi,LONG,10857,4.7390319406e-05,1.62050716322e-05,0.543336096528,0.0422768720641,4.7390319406e-05,1.62050716322e-05,0.543336096528
2024-08-01,2,lightgbm_qi_ofi,LONG_MINUS_SHORT,21269,9.37485447608e-05,3.59872797886e-05,,,,,
2024-08-01,2,lightgbm_extended,SHORT,10727,-4.76482876854e-05,-2.37940573032e-05,0.0453994593083,0.553742891768,4.76482876854e-05,2.37940573032e-05,0.553742891768
2024-08-01,2,lightgbm_extended,FLAT,64835,-6.34044197155e-08,0,0.127801341868,0.130315416056,0,0,0
2024-08-01,2,lightgbm_extended,LONG,10836,4.85792777191e-05,1.99957655277e-05,0.553433001107,0.047526762643,4.85792777191e-05,1.99957655277e-05,0.553433001107
2024-08-01,2,lightgbm_extended,LONG_MINUS_SHORT,21563,9.62275654045e-05,4.37898228309e-05,,,,,
2024-09-01,3,qi_direct_baseline,SHORT,17209,-2.51864225399e-05,0,0.0167935382649,0.384856760997,2.51864225399e-05,0,0.384856760997
2024-09-01,3,qi_direct_baseline,FLAT,50393,-6.14045109757e-07,0,0.0733435199333,0.0741372809716,0,0,0
2024-09-01,3,qi_direct_baseline,LONG,18793,2.318385763e-05,0,0.390198478157,0.0212313095301,2.318385763e-05,0,0.390198478157
2024-09-01,3,qi_direct_baseline,LONG_MINUS_SHORT,36002,4.83702801699e-05,0,,,,,
2024-09-01,3,lightgbm_qi_ofi,SHORT,11955,-3.24019861528e-05,0,0.0260142199916,0.469427017984,3.24019861528e-05,0,0.469427017984
2024-09-01,3,lightgbm_qi_ofi,FLAT,60981,-4.33881650245e-07,0,0.0778111214969,0.0778439185976,0,0,0
2024-09-01,3,lightgbm_qi_ofi,LONG,13459,2.86159296461e-05,0,0.46526487852,0.0296455903113,2.86159296461e-05,0,0.46526487852
2024-09-01,3,lightgbm_qi_ofi,LONG_MINUS_SHORT,25414,6.10179157989e-05,0,,,,,
2024-09-01,3,lightgbm_extended,SHORT,11521,-3.38761638812e-05,0,0.0292509330787,0.48615571565,3.38761638812e-05,0,0.48615571565
2024-09-01,3,lightgbm_extended,FLAT,62188,-3.19484879094e-07,0,0.0779893226989,0.0761883321541,0,0,0
2024-09-01,3,lightgbm_extended,LONG,12686,3.00703866839e-05,0,0.48328866467,0.0330285353933,3.00703866839e-05,0,0.48328866467
2024-09-01,3,lightgbm_extended,LONG_MINUS_SHORT,24207,6.39465505651e-05,0,,,,,
2024-10-01,4,qi_direct_baseline,SHORT,9735,-4.43113137325e-05,-7.80371716092e-07,0.0448895737031,0.51186440678,4.43113137325e-05,7.80371716092e-07,0.51186440678
2024-10-01,4,qi_direct_baseline,FLAT,66161,-1.1114804974e-06,0,0.131028853857,0.140898716767,0,0,0
2024-10-01,4,qi_direct_baseline,LONG,10501,4.42180940529e-05,0,0.484239596229,0.0423769164841,4.42180940529e-05,0,0.484239596229
