date,fold_id,model,signal_side,average_run_length_anchors,median_run_length_anchors,p95_run_length_anchors,max_run_length_anchors,average_run_length_seconds,median_run_length_seconds,p95_run_length_seconds,max_run_length_seconds
2024-07-01,1,qi_direct_baseline,LONG,2.36319265001,1,7,32,2.36319265001,1,7,32
2024-07-01,1,qi_direct_baseline,SHORT,2.60070767556,2,8,27,2.60070767556,2,8,27
2024-07-01,1,lightgbm_qi_ofi,LONG,1.63551944283,1,4,12,1.63551944283,1,4,12
2024-07-01,1,lightgbm_qi_ofi,SHORT,1.67637485009,1,4,12,1.67637485009,1,4,12
2024-07-01,1,lightgbm_extended,LONG,1.73403395311,1,4,16,1.73403395311,1,4,16
2024-07-01,1,lightgbm_extended,SHORT,1.78334260805,1,4,15,1.78334260805,1,4,15
2024-08-01,2,qi_direct_baseline,LONG,1.5377882152,1,4,21,1.5377882152,1,4,21
2024-08-01,2,qi_direct_baseline,SHORT,1.49988063977,1,3,14,1.49988063977,1,3,14
2024-08-01,2,lightgbm_qi_ofi,LONG,1.5583464906,1,3,11,1.5583464906,1,3,11
2024-08-01,2,lightgbm_qi_ofi,SHORT,1.53659976387,1,3,15,1.53659976387,1,3,15
2024-08-01,2,lightgbm_extended,LONG,1.57385620915,1,4,11,1.57385620915,1,4,11
2024-08-01,2,lightgbm_extended,SHORT,1.55014450867,1,3,14,1.55014450867,1,3,14
2024-09-01,3,qi_direct_baseline,LONG,3.92748171369,2,13,64,3.92748171369,2,13,64
2024-09-01,3,qi_direct_baseline,SHORT,3.91558589306,2,13,61,3.91558589306,2,13,61
2024-09-01,3,lightgbm_qi_ofi,LONG,1.97606812509,1,5,17,1.97606812509,1,5,17
2024-09-01,3,lightgbm_qi_ofi,SHORT,1.88683712121,1,5,21,1.88683712121,1,5,21
2024-09-01,3,lightgbm_extended,LONG,1.96438525859,1,5,16,1.96438525859,1,5,16
2024-09-01,3,lightgbm_extended,SHORT,1.91537822111,1,5,15,1.91537822111,1,5,15
2024-10-01,4,qi_direct_baseline,LONG,2.06023150873,1,6,46,2.06023150873,1,6,46
2024-10-01,4,qi_direct_baseline,SHORT,1.95481927711,1,5,52,1.95481927711,1,5,52
2024-10-01,4,lightgbm_qi_ofi,LONG,1.55390793945,1,4,12,1.55390793945,1,4,12
2024-10-01,4,lightgbm_qi_ofi,SHORT,1.57531953743,1,4,9,1.57531953743,1,4,9
2024-10-01,4,lightgbm_extended,LONG,1.6220425277,1,4,13,1.6220425277,1,4,13
2024-10-01,4,lightgbm_extended,SHORT,1.65320733104,1,4,10,1.65320733104,1,4,10
2024-11-01,5,qi_direct_baseline,LONG,1.89295713978,1,5,29,1.89295713978,1,5,29
2024-11-01,5,qi_direct_baseline,SHORT,1.86280914606,1,5,24,1.86280914606,1,5,24
2024-11-01,5,lightgbm_qi_ofi,LONG,1.53938269523,1,3,11,1.53938269523,1,3,11
2024-11-01,5,lightgbm_qi_ofi,SHORT,1.52037004092,1,3,9,1.52037004092,1,3,9
2024-11-01,5,lightgbm_extended,LONG,1.48211025922,1,3,10,1.48211025922,1,3,10
2024-11-01,5,lightgbm_extended,SHORT,1.50284596229,1,3,9,1.50284596229,1,3,9
2024-12-01,6,qi_direct_baseline,LONG,2.56094134176,2,8,32,2.56094134176,2,8,32
2024-12-01,6,qi_direct_baseline,SHORT,3.02201550388,2,10,56,3.02201550388,2,10,56
2024-12-01,6,lightgbm_qi_ofi,LONG,1.55157894737,1,3,11,1.55157894737,1,3,11
2024-12-01,6,lightgbm_qi_ofi,SHORT,1.64089775561,1,4,11,1.64089775561,1,4,11
2024-12-01,6,lightgbm_extended,LONG,1.65548455804,1,4,18,1.65548455804,1,4,18
2024-12-01,6,lightgbm_extended,SHORT,1.7478551001,1,4,16,1.7478551001,1,4,16
2025-01-01,7,qi_direct_baseline,LONG,2.61497146694,2,7,41,2.61497146694,2,7,41
2025-01-01,7,qi_direct_baseline,SHORT,2.68970861748,2,8,46,2.68970861748,2,8,46
2025-01-01,7,lightgbm_qi_ofi,LONG,1.54717935745,1,3,15,1.54717935745,1,3,15
2025-01-01,7,lightgbm_qi_ofi,SHORT,1.58434343434,1,4,13,1.58434343434,1,4,13
2025-01-01,7,lightgbm_extended,LONG,1.56067291782,1,4,14,1.56067291782,1,4,14
2025-01-01,7,lightgbm_extended,SHORT,1.61466372657,1,4,12,1.61466372657,1,4,12
