date,fold_id,model,raw_signal_changes,final_signal_changes,long_to_flat,flat_to_long,short_to_flat,flat_to_short,long_to_short,short_to_long,signal_transition_rate,direct_reversal_rate
2024-07-01,1,qi_direct_baseline,14239,14240,3455,3437,3628,3646,28,46,0.164818630061,0.000856501307901
2024-07-01,1,lightgbm_qi_ofi,21788,21789,5066,5049,5717,5734,103,120,0.252193337809,0.0025810782657
2024-07-01,1,lightgbm_extended,20465,20465,4856,4827,5270,5299,92,121,0.236868909003,0.00246533484571
2024-08-01,2,qi_direct_baseline,17517,17518,4565,4575,4080,4070,119,109,0.202759323132,0.00263894997569
2024-08-01,2,lightgbm_qi_ofi,26773,26773,6606,6615,6424,6415,361,352,0.30987985833,0.00825250584504
2024-08-01,2,lightgbm_extended,26749,26749,6449,6460,6495,6484,436,425,0.309602074122,0.00996550846084
2024-09-01,3,qi_direct_baseline,17626,17626,4397,4439,4049,4007,388,346,0.204016436136,0.00849586202905
2024-09-01,3,lightgbm_qi_ofi,25354,25354,6286,6396,5921,5811,525,415,0.293466057063,0.0108802592743
2024-09-01,3,lightgbm_extended,23988,23988,5936,6022,5579,5493,522,436,0.277654956884,0.0110886046646
2024-10-01,4,qi_direct_baseline,19669,19670,4866,4844,4727,4749,231,253,0.227669942243,0.00560204636735
2024-10-01,4,lightgbm_qi_ofi,25290,25291,6080,6067,6165,6178,394,407,0.292730071646,0.00927115524845
2024-10-01,4,lightgbm_extended,25920,25921,5964,5989,6295,6270,714,689,0.300021991504,0.0162389897797
2024-11-01,5,qi_direct_baseline,17612,17612,4528,4512,4155,4171,115,131,0.203856749311,0.00284741995972
2024-11-01,5,lightgbm_qi_ofi,22623,22624,5688,5694,5386,5380,241,235,0.261870037271,0.00550964187328
2024-11-01,5,lightgbm_extended,21602,21603,5181,5178,5322,5325,297,300,0.25005208695,0.00691020209737
2024-12-01,6,qi_direct_baseline,12091,12092,2821,2821,3199,3199,26,26,0.139956943448,0.00060186578393
