date,fold_id,model,feature_set,train_row_count,q05,q10,q90,q95
2024-07-01,1,qi_direct_baseline,qi_only,518369,-2.4536933609e-05,-2.28670200864e-05,2.28848371891e-05,2.47020980462e-05
2024-07-01,1,lightgbm_qi_ofi,qi_ofi,518369,-3.50566965845e-05,-2.24550726138e-05,2.43828703483e-05,3.72640206541e-05
2024-07-01,1,lightgbm_extended,extended_book_flow,518369,-3.6165048673e-05,-2.30016236732e-05,2.36144536877e-05,3.71687417879e-05
2024-08-01,2,qi_direct_baseline,qi_only,604767,-2.39538287879e-05,-2.23274628954e-05,2.24899633535e-05,2.42959460981e-05
2024-08-01,2,lightgbm_qi_ofi,qi_ofi,604767,-3.3449052998e-05,-2.20680376867e-05,2.32828692786e-05,3.60408257573e-05
2024-08-01,2,lightgbm_extended,extended_book_flow,604767,-3.46954964039e-05,-2.25160632218e-05,2.315185151e-05,3.58296666964e-05
2024-09-01,3,qi_direct_baseline,qi_only,691165,-2.57144879359e-05,-2.38753108173e-05,2.40424159787e-05,2.60493782489e-05
2024-09-01,3,lightgbm_qi_ofi,qi_ofi,691165,-3.49037503436e-05,-2.48249095965e-05,2.51385003137e-05,3.69766609638e-05
2024-09-01,3,lightgbm_extended,extended_book_flow,691165,-3.6077760948e-05,-2.45048990811e-05,2.5432221311e-05,3.71846217757e-05
2024-10-01,4,qi_direct_baseline,qi_only,777560,-2.51346121618e-05,-2.35147779887e-05,2.36984455431e-05,2.54508335865e-05
2024-10-01,4,lightgbm_qi_ofi,qi_ofi,777560,-3.58060961043e-05,-2.51221946174e-05,2.5539114988e-05,3.63126870583e-05
2024-10-01,4,lightgbm_extended,extended_book_flow,777560,-3.60075355946e-05,-2.45523965219e-05,2.49876585173e-05,3.7107075105e-05
2024-11-01,5,qi_direct_baseline,qi_only,863957,-2.62164890555e-05,-2.45165761179e-05,2.4604051985e-05,2.64012638453e-05
2024-11-01,5,lightgbm_qi_ofi,qi_ofi,863957,-3.79831346967e-05,-2.63017665908e-05,2.64272498941e-05,3.85898072305e-05
2024-11-01,5,lightgbm_extended,extended_book_flow,863957,-3.72751089556e-05,-2.53628187248e-05,2.54528907948e-05,3.84564819057e-05
2024-12-01,6,qi_direct_baseline,qi_only,950351,-2.66040757618e-05,-2.48501256575e-05,2.49222124267e-05,2.67608880704e-05
2024-12-01,6,lightgbm_qi_ofi,qi_ofi,950351,-3.66506846949e-05,-2.65113440201e-05,2.6849847015e-05,3.96273762787e-05
2024-12-01,6,lightgbm_extended,extended_book_flow,950351,-3.76229109762e-05,-2.56434997597e-05,2.57734058423e-05,3.86301064836e-05
2025-01-01,7,qi_direct_baseline,qi_only,1036749,-2.5589882033e-05,-2.39130354016e-05,2.41825184305e-05,2.60132085383e-05
2025-01-01,7,lightgbm_qi_ofi,qi_ofi,1036749,-3.61035991936e-05,-2.57659792994e-05,2.47899608318e-05,3.69062058514e-05
2025-01-01,7,lightgbm_extended,extended_book_flow,1036749,-3.59740065089e-05,-2.42985697961e-05,2.44868064912e-05,3.73947726819e-05
2025-02-01,8,qi_direct_baseline,qi_only,1123148,-2.47378317757e-05,-2.3092557903e-05,2.32983249003e-05,2.50750910508e-05
2025-02-01,8,lightgbm_qi_ofi,qi_ofi,1123148,-3.42291976682e-05,-2.39149570186e-05,2.38649865842e-05,3.63801004893e-05
2025-02-01,8,lightgbm_extended,extended_book_flow,1123148,-3.53727140607e-05,-2.37813528624e-05,2.31924882222e-05,3.66138957463e-05
2025-03-01,9,qi_direct_baseline,qi_only,1209547,-2.40265985087e-05,-2.24396330545e-05,2.24706599259e-05,2.41288357142e-05
2025-03-01,9,lightgbm_qi_ofi,qi_ofi,1209547,-3.38148421235e-05,-2.36030260895e-05,2.30116780893e-05,3.54597706824e-05
2025-03-01,9,lightgbm_extended,extended_book_flow,1209547,-3.39933492857e-05,-2.26506379663e-05,2.21925771908e-05,3.52478252751e-05
2025-04-01,10,qi_direct_baseline,qi_only,1295943,-2.45359597844e-05,-2.29120700104e-05,2.27341060208e-05,2.43522915561e-05
2025-04-01,10,lightgbm_qi_ofi,qi_ofi,1295943,-3.45805270853e-05,-2.31376313861e-05,2.28993745198e-05,3.54307100832e-05
2025-04-01,10,lightgbm_extended,extended_book_flow,1295943,-3.45937365956e-05,-2.28923748018e-05,2.26505793394e-05,3.54957924826e-05
2025-05-01,11,qi_direct_baseline,qi_only,1382342,-2.46882860997e-05,-2.31060436861e-05,2.30070259109e-05,2.45816334664e-05
2025-05-01,11,lightgbm_qi_ofi,qi_ofi,1382342,-3.33267189777e-05,-2.33142086577e-05,2.35458639732e-05,3.58086357774e-05
2025-05-01,11,lightgbm_extended,extended_book_flow,1382342,-3.45094114389e-05,-2.30376524617e-05,2.28818881079e-05,3.55654366252e-05
2025-06-01,12,qi_direct_baseline,qi_only,1468741,-2.43564878162e-05,-2.2740402244e-05,2.26712464739e-05,2.42743159809e-05
2025-06-01,12,lightgbm_qi_ofi,qi_ofi,1468741,-3.30222225462e-05,-2.30272899495e-05,2.27657544055e-05,3.47196155854e-05
2025-06-01,12,lightgbm_extended,extended_book_flow,1468741,-3.40444328539e-05,-2.23152864946e-05,2.23035374831e-05,3.49724890801e-05
2025-07-01,13,qi_direct_baseline,qi_only,1555140,-2.38317320409e-05,-2.21987746068e-05,2.21196310376e-05,2.3729454048e-05
2025-07-01,13,lightgbm_qi_ofi,qi_ofi,1555140,-3.21095550856e-05,-2.25149107954e-05,2.18579958683e-05,3.39024257377e-05
2025-07-01,13,lightgbm_extended,extended_book_flow,1555140,-3.35078044409e-05,-2.17719754708e-05,2.18308857261e-05,3.36218680449e-05
2025-08-01,14,qi_direct_baseline,qi_only,1641533,-2.31652389299e-05,-2.160554083e-05,2.16584776725e-05,2.32485912167e-05
2025-08-01,14,lightgbm_qi_ofi,qi_ofi,1641533,-3.09882559436e-05,-2.17934689733e-05,2.16972848664e-05,3.31005311761e-05
2025-08-01,14,lightgbm_extended,extended_book_flow,1641533,-3.22268328832e-05,-2.07419261023e-05,2.08767288213e-05,3.3109490399e-05
2025-09-01,15,qi_direct_baseline,qi_only,1727932,-2.37029904244e-05,-2.20940452412e-05,2.20972539931e-05,2.37329066909e-05
2025-09-01,15,lightgbm_qi_ofi,qi_ofi,1727932,-3.1785950611e-05,-2.20829245267e-05,2.22210633614e-05,3.36156342177e-05
2025-09-01,15,lightgbm_extended,extended_book_flow,1727932,-3.27157517591e-05,-2.13276065474e-05,2.14428539146e-05,3.36982877293e-05
