mode,model,latency_ms,signed_markout_100ms,signed_markout_500ms,signed_markout_1000ms,signed_markout_5000ms
market,lightgbm_extended,0,-1.1470008889870075e-06,7.897819286336045e-06,1.320663130130423e-05,3.317290279233343e-05
market,lightgbm_extended,100,-1.4886084743443497e-06,6.145851472076692e-06,1.1143525326177007e-05,3.216281443944474e-05
market,lightgbm_qi_ofi,0,-1.1746693451358321e-06,7.1725650179540575e-06,1.2107392735846244e-05,3.050569239677974e-05
market,lightgbm_qi_ofi,100,-1.232820901249429e-06,5.66877036388443e-06,1.0610174536886874e-05,3.057063869364892e-05
market,qi_direct_baseline,0,-1.088351731772336e-06,1.0535309514301707e-05,1.7416548354535208e-05,3.987896339199094e-05
market,qi_direct_baseline,100,-1.4636148382271686e-06,8.306334117852412e-06,1.5093855915862536e-05,3.9335521097288585e-05
passive,lightgbm_extended,0,-8.853923819075046e-05,-0.00010300249237838641,-0.00010995416381369382,-0.00014437388197153768
passive,lightgbm_extended,100,-8.624031028703797e-05,-0.00010239381380745542,-0.00010997019695218208,-0.00014979489708356197
passive,lightgbm_qi_ofi,0,-9.322343980259134e-05,-0.00010873946625068067,-0.00011684898244945548,-0.00015091894030667703
passive,lightgbm_qi_ofi,100,-8.61329387292434e-05,-0.00010137862400062468,-0.00011011667748482326,-0.00015148806561746244
passive,qi_direct_baseline,0,-0.00014105230024999424,-0.00015450348990506967,-0.00015289006263300908,-0.00011454134612318727
passive,qi_direct_baseline,100,-0.00013767096596692502,-0.0001599663576247513,-0.00016111101548255477,-0.0001700897346064218
