mode,model,latency_ms,levels_consumed,order_count
market,lightgbm_extended,0,1,18239
market,lightgbm_extended,0,2,677
market,lightgbm_extended,0,3,530
market,lightgbm_extended,0,4,355
market,lightgbm_extended,0,5,222
market,lightgbm_extended,0,6,144
market,lightgbm_extended,0,7,101
market,lightgbm_extended,0,8,71
market,lightgbm_extended,0,9,43
market,lightgbm_extended,0,10,83
market,lightgbm_extended,100,1,18384
market,lightgbm_extended,100,2,624
market,lightgbm_extended,100,3,480
market,lightgbm_extended,100,4,348
market,lightgbm_extended,100,5,215
market,lightgbm_extended,100,6,122
market,lightgbm_extended,100,7,88
market,lightgbm_extended,100,8,71
market,lightgbm_extended,100,9,37
market,lightgbm_extended,100,10,96
market,lightgbm_qi_ofi,0,1,19631
market,lightgbm_qi_ofi,0,2,664
market,lightgbm_qi_ofi,0,3,512
market,lightgbm_qi_ofi,0,4,340
market,lightgbm_qi_ofi,0,5,220
market,lightgbm_qi_ofi,0,6,136
market,lightgbm_qi_ofi,0,7,96
market,lightgbm_qi_ofi,0,8,70
market,lightgbm_qi_ofi,0,9,39
market,lightgbm_qi_ofi,0,10,81
market,lightgbm_qi_ofi,100,1,19768
market,lightgbm_qi_ofi,100,2,622
market,lightgbm_qi_ofi,100,3,462
market,lightgbm_qi_ofi,100,4,328
market,lightgbm_qi_ofi,100,5,210
market,lightgbm_qi_ofi,100,6,122
market,lightgbm_qi_ofi,100,7,83
market,lightgbm_qi_ofi,100,8,67
market,lightgbm_qi_ofi,100,9,34
market,lightgbm_qi_ofi,100,10,93
market,qi_direct_baseline,0,1,12180
market,qi_direct_baseline,0,2,658
market,qi_direct_baseline,0,3,502
market,qi_direct_baseline,0,4,323
market,qi_direct_baseline,0,5,209
market,qi_direct_baseline,0,6,132
market,qi_direct_baseline,0,7,81
market,qi_direct_baseline,0,8,53
market,qi_direct_baseline,0,9,25
market,qi_direct_baseline,0,10,77
market,qi_direct_baseline,100,1,12435
market,qi_direct_baseline,100,2,562
market,qi_direct_baseline,100,3,445
market,qi_direct_baseline,100,4,304
market,qi_direct_baseline,100,5,166
market,qi_direct_baseline,100,6,112
market,qi_direct_baseline,100,7,72
market,qi_direct_baseline,100,8,43
market,qi_direct_baseline,100,9,28
market,qi_direct_baseline,100,10,73
passive,lightgbm_extended,0,0,20465
passive,lightgbm_extended,100,0,20359
passive,lightgbm_extended,100,1,101
passive,lightgbm_extended,100,2,3
passive,lightgbm_extended,100,3,2
passive,lightgbm_qi_ofi,0,0,21789
passive,lightgbm_qi_ofi,100,0,21602
passive,lightgbm_qi_ofi,100,1,180
passive,lightgbm_qi_ofi,100,2,5
passive,lightgbm_qi_ofi,100,3,2
passive,qi_direct_baseline,0,0,14240
passive,qi_direct_baseline,100,0,14141
passive,qi_direct_baseline,100,1,97
passive,qi_direct_baseline,100,2,2
