mode,model,latency_ms,fill_rows,mean_implementation_shortfall,median_implementation_shortfall
market,lightgbm_extended,0,27069,5.607924162474779e-06,7.947251228395744e-08
market,lightgbm_extended,100,26748,9.781072581593325e-06,7.949750576385782e-08
market,lightgbm_qi_ofi,0,28164,5.185023824440075e-06,7.945840522780069e-08
market,lightgbm_qi_ofi,100,27845,8.28691755766168e-06,7.947862664202427e-08
market,qi_direct_baseline,0,20117,6.779874270463451e-06,7.951904966116782e-08
market,qi_direct_baseline,100,19442,1.0472018849959377e-05,7.95317108818811e-08
passive,lightgbm_extended,0,9501,-1.9750778566219973e-07,-7.91916559974116e-08
passive,lightgbm_extended,100,10911,-8.409320521833261e-07,-7.922299978967332e-08
passive,lightgbm_qi_ofi,0,12060,-3.4183513970957855e-07,-7.922568624547196e-08
passive,lightgbm_qi_ofi,100,12748,-1.1539556554697e-06,-7.923524043388038e-08
passive,qi_direct_baseline,0,1972,-2.01187062477815e-06,-7.917655754194497e-08
passive,qi_direct_baseline,100,2815,-3.883156911046472e-06,-7.942307719560313e-08
