date,model,mode,latency_ms,order_count,orders_per_day,orders_per_active_signal_hour,buy_orders,sell_orders,orders_per_signal_transition
2024-07-01,lightgbm_extended,market,0,20465,20465,4049.356930856326,10218,10247,1.0
2024-07-01,lightgbm_extended,market,100,20465,20465,4049.356930856326,10218,10247,1.0
2024-07-01,lightgbm_extended,passive,0,20465,20465,4049.356930856326,10218,10247,1.0
2024-07-01,lightgbm_extended,passive,100,20465,20465,4049.356930856326,10218,10247,1.0
2024-07-01,lightgbm_qi_ofi,market,0,21789,21789,4300.696310104721,10886,10903,1.0
2024-07-01,lightgbm_qi_ofi,market,100,21789,21789,4300.696310104721,10886,10903,1.0
2024-07-01,lightgbm_qi_ofi,passive,0,21789,21789,4300.696310104721,10886,10903,1.0
2024-07-01,lightgbm_qi_ofi,passive,100,21789,21789,4300.696310104721,10886,10903,1.0
2024-07-01,qi_direct_baseline,market,0,14240,14240,2882.2669515349153,7111,7129,1.0
2024-07-01,qi_direct_baseline,market,100,14240,14240,2882.2669515349153,7111,7129,1.0
2024-07-01,qi_direct_baseline,passive,0,14240,14240,2882.2669515349153,7111,7129,1.0
2024-07-01,qi_direct_baseline,passive,100,14240,14240,2882.2669515349153,7111,7129,1.0
