date,model,mode,latency_ms,orders,fills,runtime_seconds
2024-07-01,qi_direct_baseline,market,0,14240,20117,21.05948695796542
2024-07-01,qi_direct_baseline,market,100,14240,19442,20.633876665960997
2024-07-01,qi_direct_baseline,passive,0,14240,1972,15.149761166190729
2024-07-01,qi_direct_baseline,passive,100,14240,2815,15.892602750100195
2024-07-01,lightgbm_qi_ofi,market,0,21789,28164,29.684713790891692
2024-07-01,lightgbm_qi_ofi,market,100,21789,27845,29.621531415963545
2024-07-01,lightgbm_qi_ofi,passive,0,21789,12060,28.036651082802564
2024-07-01,lightgbm_qi_ofi,passive,100,21789,12748,28.61244545900263
2024-07-01,lightgbm_extended,market,0,20465,27069,28.600357041927055
2024-07-01,lightgbm_extended,market,100,20465,26748,28.172565291868523
2024-07-01,lightgbm_extended,passive,0,20465,9501,24.8129404168576
2024-07-01,lightgbm_extended,passive,100,20465,10911,26.086954250000417
