date,model,mode,latency_ms,total_turnover,buy_notional,sell_notional,gross_traded_btc_quantity,fill_count,parent_order_count
2024-07-01,lightgbm_extended,market,0,206518401.8921641,103234506.3767107,103283895.51545228,3270.8235187190276,27069,20465
2024-07-01,lightgbm_extended,market,100,206446116.54784513,103232289.93001832,103213826.6178265,3269.6722194247873,26748,20465
2024-07-01,lightgbm_qi_ofi,market,0,219850080.70557386,109899441.95259729,109950638.7529759,3481.960156883706,28164,21789
2024-07-01,lightgbm_qi_ofi,market,100,219792552.9203605,109902255.60631418,109890297.3140469,3481.0435352586046,27845,21789
2024-07-01,qi_direct_baseline,market,0,142876210.0156418,71393282.84620121,71482927.16944015,2262.982547012662,20117,14240
2024-07-01,qi_direct_baseline,market,100,142879876.99890685,71404152.1299904,71475724.86891574,2263.036998182651,19442,14240
2024-07-01,lightgbm_extended,passive,0,4866605.998529209,2811186.771480643,2055419.227048577,77.03307353598423,9501,20465
2024-07-01,lightgbm_extended,passive,100,6234185.619222174,3361559.9235375393,2872625.695684706,98.6867833176004,10911,20465
2024-07-01,lightgbm_qi_ofi,passive,0,6125189.791964068,3351283.129682933,2773906.6622812026,96.99007041153142,12060,21789
2024-07-01,lightgbm_qi_ofi,passive,100,8031909.703807328,4200053.655737588,3831856.0480698217,127.18887343099662,12748,21789
2024-07-01,qi_direct_baseline,passive,0,1879536.6388541388,1001424.7542238949,878111.884630236,29.73221483036279,1972,14240
2024-07-01,qi_direct_baseline,passive,100,3023648.8893636637,1612538.8134856396,1411110.0758780336,47.855998718096835,2815,14240
