date,model,mode,latency_ms,fee_scenario,gross_pnl,maker_fees,taker_fees,total_fees,net_pnl,fee_burden_fraction_of_gross_pnl
2024-07-01,lightgbm_extended,market,0,market_0_00bps,5720.895120207824,0.0,0.0,0.0,5720.895120207824,0.0
2024-07-01,lightgbm_extended,market,0,market_0_10bps,5720.895120207824,0.0,2065.1840189216414,2065.1840189216414,3655.711101286183,0.3609896660448862
2024-07-01,lightgbm_extended,market,0,market_0_25bps,5720.895120207824,0.0,5162.960047304103,5162.960047304103,557.9350729037214,0.9024741651122153
2024-07-01,lightgbm_extended,market,0,market_0_50bps,5720.895120207824,0.0,10325.920094608206,10325.920094608206,-4605.024974400381,1.8049483302244307
2024-07-01,lightgbm_extended,market,0,market_1_00bps,5720.895120207824,0.0,20651.84018921641,20651.84018921641,-14930.945069008587,3.6098966604488614
2024-07-01,lightgbm_extended,market,0,market_2_00bps,5720.895120207824,0.0,41303.68037843282,41303.68037843282,-35582.785258225,7.219793320897723
2024-07-01,lightgbm_extended,market,0,market_5_00bps,5720.895120207824,0.0,103259.20094608206,103259.20094608206,-97538.30582587424,18.049483302244305
2024-07-01,lightgbm_extended,market,0,market_10_00bps,5720.895120207824,0.0,206518.4018921641,206518.4018921641,-200797.50677195628,36.09896660448861
2024-07-01,lightgbm_extended,market,10,market_0_00bps,5720.895120207824,0.0,0.0,0.0,5720.895120207824,0.0
2024-07-01,lightgbm_extended,market,10,market_0_10bps,5720.895120207824,0.0,2065.1840189216414,2065.1840189216414,3655.711101286183,0.3609896660448862
2024-07-01,lightgbm_extended,market,10,market_0_25bps,5720.895120207824,0.0,5162.960047304103,5162.960047304103,557.9350729037214,0.9024741651122153
2024-07-01,lightgbm_extended,market,10,market_0_50bps,5720.895120207824,0.0,10325.920094608206,10325.920094608206,-4605.024974400381,1.8049483302244307
2024-07-01,lightgbm_extended,market,10,market_1_00bps,5720.895120207824,0.0,20651.84018921641,20651.84018921641,-14930.945069008587,3.6098966604488614
2024-07-01,lightgbm_extended,market,10,market_2_00bps,5720.895120207824,0.0,41303.68037843282,41303.68037843282,-35582.785258225,7.219793320897723
2024-07-01,lightgbm_extended,market,10,market_5_00bps,5720.895120207824,0.0,103259.20094608206,103259.20094608206,-97538.30582587424,18.049483302244305
2024-07-01,lightgbm_extended,market,10,market_10_00bps,5720.895120207824,0.0,206518.4018921641,206518.4018921641,-200797.50677195628,36.09896660448861
2024-07-01,lightgbm_extended,market,100,market_0_00bps,5264.311049242642,0.0,0.0,0.0,5264.311049242642,0.0
2024-07-01,lightgbm_extended,market,100,market_0_10bps,5264.311049242642,0.0,2064.4611654784517,2064.4611654784517,3199.8498837641905,0.39216169906515275
2024-07-01,lightgbm_extended,market,100,market_0_25bps,5264.311049242642,0.0,5161.152913696128,5161.152913696128,103.15813554651413,0.9804042476628817
2024-07-01,lightgbm_extended,market,100,market_0_50bps,5264.311049242642,0.0,10322.305827392256,10322.305827392256,-5057.994778149614,1.9608084953257634
2024-07-01,lightgbm_extended,market,100,market_1_00bps,5264.311049242642,0.0,20644.611654784512,20644.611654784512,-15380.30060554187,3.921616990651527
2024-07-01,lightgbm_extended,market,100,market_2_00bps,5264.311049242642,0.0,41289.223309569024,41289.223309569024,-36024.91226032638,7.843233981303054
2024-07-01,lightgbm_extended,market,100,market_5_00bps,5264.311049242642,0.0,103223.05827392256,103223.05827392256,-97958.74722467992,19.608084953257634
2024-07-01,lightgbm_extended,market,100,market_10_00bps,5264.311049242642,0.0,206446.11654784513,206446.11654784513,-201181.80549860248,39.21616990651527
2024-07-01,lightgbm_extended,market,250,market_0_00bps,4327.789911211177,0.0,0.0,0.0,4327.789911211177,0.0
2024-07-01,lightgbm_extended,market,250,market_0_10bps,4327.789911211177,0.0,2065.408040643953,2065.408040643953,2262.3818705672243,0.47724313864993667
2024-07-01,lightgbm_extended,market,250,market_0_25bps,4327.789911211177,0.0,5163.520101609882,5163.520101609882,-835.7301903987045,1.1931078466248415
2024-07-01,lightgbm_extended,market,250,market_0_50bps,4327.789911211177,0.0,10327.040203219763,10327.040203219763,-5999.250292008586,2.386215693249683
2024-07-01,lightgbm_extended,market,250,market_1_00bps,4327.789911211177,0.0,20654.080406439527,20654.080406439527,-16326.29049522835,4.772431386499366
2024-07-01,lightgbm_extended,market,250,market_2_00bps,4327.789911211177,0.0,41308.160812879054,41308.160812879054,-36980.37090166788,9.544862772998732
2024-07-01,lightgbm_extended,market,250,market_5_00bps,4327.789911211177,0.0,103270.40203219764,103270.40203219764,-98942.61212098647,23.86215693249683
