date,model,execution_mode,latency_ms,net_positive_at_0_10bps,net_positive_at_0_25bps,net_positive_at_0_50bps,net_positive_at_1_00bps,net_positive_at_2_00bps,net_positive_at_5_00bps,net_positive_at_10_00bps,net_positive_P0,net_positive_P1,net_positive_P2,net_positive_P3,net_positive_P4,net_positive_P5,net_positive_P6
2024-07-01,lightgbm_extended,market,0,True,True,False,False,False,False,False,,,,,,,
2024-07-01,lightgbm_extended,market,10,True,True,False,False,False,False,False,,,,,,,
2024-07-01,lightgbm_extended,market,50,True,True,False,False,False,False,False,,,,,,,
2024-07-01,lightgbm_extended,market,100,True,True,False,False,False,False,False,,,,,,,
2024-07-01,lightgbm_extended,market,250,True,False,False,False,False,False,False,,,,,,,
2024-07-01,lightgbm_qi_ofi,market,0,True,True,False,False,False,False,False,,,,,,,
2024-07-01,lightgbm_qi_ofi,market,10,True,True,False,False,False,False,False,,,,,,,
2024-07-01,lightgbm_qi_ofi,market,50,True,True,False,False,False,False,False,,,,,,,
2024-07-01,lightgbm_qi_ofi,market,100,True,False,False,False,False,False,False,,,,,,,
2024-07-01,lightgbm_qi_ofi,market,250,True,False,False,False,False,False,False,,,,,,,
2024-07-01,qi_direct_baseline,market,0,True,True,False,False,False,False,False,,,,,,,
2024-07-01,qi_direct_baseline,market,10,True,True,False,False,False,False,False,,,,,,,
2024-07-01,qi_direct_baseline,market,50,True,True,False,False,False,False,False,,,,,,,
2024-07-01,qi_direct_baseline,market,100,True,True,False,False,False,False,False,,,,,,,
2024-07-01,qi_direct_baseline,market,250,True,True,False,False,False,False,False,,,,,,,
2024-07-01,lightgbm_extended,passive,0,,,,,,,,False,False,False,False,False,False,False
2024-07-01,lightgbm_extended,passive,10,,,,,,,,False,False,False,False,False,False,False
2024-07-01,lightgbm_extended,passive,50,,,,,,,,False,False,False,False,False,False,False
2024-07-01,lightgbm_extended,passive,100,,,,,,,,False,False,False,False,False,False,False
2024-07-01,lightgbm_extended,passive,250,,,,,,,,False,False,False,False,False,False,False
2024-07-01,lightgbm_qi_ofi,passive,0,,,,,,,,False,False,False,False,False,False,False
2024-07-01,lightgbm_qi_ofi,passive,10,,,,,,,,False,False,False,False,False,False,False
2024-07-01,lightgbm_qi_ofi,passive,50,,,,,,,,False,False,False,False,False,False,False
2024-07-01,lightgbm_qi_ofi,passive,100,,,,,,,,False,False,False,False,False,False,False
2024-07-01,lightgbm_qi_ofi,passive,250,,,,,,,,False,False,False,False,False,False,False
2024-07-01,qi_direct_baseline,passive,0,,,,,,,,False,False,False,False,False,False,False
2024-07-01,qi_direct_baseline,passive,10,,,,,,,,False,False,False,False,False,False,False
2024-07-01,qi_direct_baseline,passive,50,,,,,,,,False,False,False,False,False,False,False
2024-07-01,qi_direct_baseline,passive,100,,,,,,,,True,True,True,True,True,False,False
2024-07-01,qi_direct_baseline,passive,250,,,,,,,,False,False,False,False,False,False,False
