comparison,left_model,right_model,latency_ms,fee_bps,gross_pnl_increment,turnover_increment,gross_pnl_bps_increment,net_pnl_increment
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0,0.0,346.61804734692123,63642191.8765223,-0.09913295033413577,346.61804734692123
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0,0.1,346.61804734692123,63642191.8765223,-0.09913295033413577,-289.8038714183017
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0,0.25,346.61804734692123,63642191.8765223,-0.09913295033413577,-1244.4367495661363
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0,0.5,346.61804734692123,63642191.8765223,-0.09913295033413577,-2835.491546479194
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0,1.0,346.61804734692123,63642191.8765223,-0.09913295033413577,-6017.601140305309
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0,2.0,346.61804734692123,63642191.8765223,-0.09913295033413577,-12381.82032795754
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0,5.0,346.61804734692123,63642191.8765223,-0.09913295033413577,-31474.477890914233
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0,10.0,346.61804734692123,63642191.8765223,-0.09913295033413577,-63295.57382917538
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0,0.0,175.98133805999532,76973870.68993205,-0.1236926803763177,175.98133805999532
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0,0.1,175.98133805999532,76973870.68993205,-0.1236926803763177,-593.757368839325
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0,0.25,175.98133805999532,76973870.68993205,-0.1236926803763177,-1748.3654291883058
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0,0.5,175.98133805999532,76973870.68993205,-0.1236926803763177,-3672.712196436607
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0,1.0,175.98133805999532,76973870.68993205,-0.1236926803763177,-7521.405730933209
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0,2.0,175.98133805999532,76973870.68993205,-0.1236926803763177,-15218.792799926414
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0,5.0,175.98133805999532,76973870.68993205,-0.1236926803763177,-38310.95400690602
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0,10.0,175.98133805999532,76973870.68993205,-0.1236926803763177,-76797.88935187203
