date,model,mode,latency_ms,fee_bps,gross_pnl,taker_fees,total_fees,net_pnl,turnover,net_pnl_bps_of_turnover
2024-07-01,lightgbm_extended,market,0,0.0,5720.895120207824,0.0,0.0,5720.895120207824,206518401.8921641,0.27701624009249565
2024-07-01,lightgbm_extended,market,0,0.1,5720.895120207824,2065.1840189216414,2065.1840189216414,3655.711101286183,206518401.8921641,0.17701624009249564
2024-07-01,lightgbm_extended,market,0,0.25,5720.895120207824,5162.960047304103,5162.960047304103,557.9350729037214,206518401.8921641,0.027016240092495654
2024-07-01,lightgbm_extended,market,0,0.5,5720.895120207824,10325.920094608206,10325.920094608206,-4605.024974400381,206518401.8921641,-0.22298375990750435
2024-07-01,lightgbm_extended,market,0,1.0,5720.895120207824,20651.84018921641,20651.84018921641,-14930.945069008587,206518401.8921641,-0.7229837599075043
2024-07-01,lightgbm_extended,market,0,2.0,5720.895120207824,41303.68037843282,41303.68037843282,-35582.785258225,206518401.8921641,-1.7229837599075042
2024-07-01,lightgbm_extended,market,0,5.0,5720.895120207824,103259.20094608206,103259.20094608206,-97538.30582587424,206518401.8921641,-4.722983759907505
2024-07-01,lightgbm_extended,market,0,10.0,5720.895120207824,206518.4018921641,206518.4018921641,-200797.50677195628,206518401.8921641,-9.722983759907503
2024-07-01,lightgbm_extended,market,10,0.0,5720.895120207824,0.0,0.0,5720.895120207824,206518401.8921641,0.27701624009249565
2024-07-01,lightgbm_extended,market,10,0.1,5720.895120207824,2065.1840189216414,2065.1840189216414,3655.711101286183,206518401.8921641,0.17701624009249564
2024-07-01,lightgbm_extended,market,10,0.25,5720.895120207824,5162.960047304103,5162.960047304103,557.9350729037214,206518401.8921641,0.027016240092495654
2024-07-01,lightgbm_extended,market,10,0.5,5720.895120207824,10325.920094608206,10325.920094608206,-4605.024974400381,206518401.8921641,-0.22298375990750435
2024-07-01,lightgbm_extended,market,10,1.0,5720.895120207824,20651.84018921641,20651.84018921641,-14930.945069008587,206518401.8921641,-0.7229837599075043
2024-07-01,lightgbm_extended,market,10,2.0,5720.895120207824,41303.68037843282,41303.68037843282,-35582.785258225,206518401.8921641,-1.7229837599075042
2024-07-01,lightgbm_extended,market,10,5.0,5720.895120207824,103259.20094608206,103259.20094608206,-97538.30582587424,206518401.8921641,-4.722983759907505
2024-07-01,lightgbm_extended,market,10,10.0,5720.895120207824,206518.4018921641,206518.4018921641,-200797.50677195628,206518401.8921641,-9.722983759907503
2024-07-01,lightgbm_extended,market,100,0.0,5264.311049242642,0.0,0.0,5264.311049242642,206446116.54784513,0.2549968552216678
2024-07-01,lightgbm_extended,market,100,0.1,5264.311049242642,2064.4611654784517,2064.4611654784517,3199.8498837641905,206446116.54784513,0.15499685522166778
2024-07-01,lightgbm_extended,market,100,0.25,5264.311049242642,5161.152913696128,5161.152913696128,103.15813554651413,206446116.54784513,0.0049968552216678105
2024-07-01,lightgbm_extended,market,100,0.5,5264.311049242642,10322.305827392256,10322.305827392256,-5057.994778149614,206446116.54784513,-0.24500314477833218
2024-07-01,lightgbm_extended,market,100,1.0,5264.311049242642,20644.611654784512,20644.611654784512,-15380.30060554187,206446116.54784513,-0.7450031447783322
2024-07-01,lightgbm_extended,market,100,2.0,5264.311049242642,41289.223309569024,41289.223309569024,-36024.91226032638,206446116.54784513,-1.7450031447783323
2024-07-01,lightgbm_extended,market,100,5.0,5264.311049242642,103223.05827392256,103223.05827392256,-97958.74722467992,206446116.54784513,-4.745003144778332
2024-07-01,lightgbm_extended,market,100,10.0,5264.311049242642,206446.11654784513,206446.11654784513,-201181.80549860248,206446116.54784513,-9.745003144778332
2024-07-01,lightgbm_extended,market,250,0.0,4327.789911211177,0.0,0.0,4327.789911211177,206540804.06439528,0.209536799801644
2024-07-01,lightgbm_extended,market,250,0.1,4327.789911211177,2065.408040643953,2065.408040643953,2262.3818705672243,206540804.06439528,0.10953679980164399
2024-07-01,lightgbm_extended,market,250,0.25,4327.789911211177,5163.520101609882,5163.520101609882,-835.7301903987045,206540804.06439528,-0.040463200198355996
2024-07-01,lightgbm_extended,market,250,0.5,4327.789911211177,10327.040203219763,10327.040203219763,-5999.250292008586,206540804.06439528,-0.290463200198356
2024-07-01,lightgbm_extended,market,250,1.0,4327.789911211177,20654.080406439527,20654.080406439527,-16326.29049522835,206540804.06439528,-0.790463200198356
2024-07-01,lightgbm_extended,market,250,2.0,4327.789911211177,41308.160812879054,41308.160812879054,-36980.37090166788,206540804.06439528,-1.7904632001983558
2024-07-01,lightgbm_extended,market,250,5.0,4327.789911211177,103270.40203219764,103270.40203219764,-98942.61212098647,206540804.06439528,-4.7904632001983565
2024-07-01,lightgbm_extended,market,250,10.0,4327.789911211177,206540.80406439528,206540.80406439528,-202213.0141531841,206540804.06439528,-9.790463200198356
2024-07-01,lightgbm_extended,market,50,0.0,5720.895120207824,0.0,0.0,5720.895120207824,206518401.8921641,0.27701624009249565
2024-07-01,lightgbm_extended,market,50,0.1,5720.895120207824,2065.1840189216414,2065.1840189216414,3655.711101286183,206518401.8921641,0.17701624009249564
