date,model,mode,latency_ms,terminal_mark_shock_bps,terminal_equity_delta,shocked_terminal_equity
2024-07-01,lightgbm_extended,market,0,-10.0,43.66824361938561,5764.56336382721
2024-07-01,lightgbm_extended,market,0,-5.0,21.834121809692807,5742.729242017517
2024-07-01,lightgbm_extended,market,0,0.0,-0.0,5720.895120207824
2024-07-01,lightgbm_extended,market,0,5.0,-21.834121809692807,5699.060998398131
2024-07-01,lightgbm_extended,market,0,10.0,-43.66824361938561,5677.226876588438
2024-07-01,lightgbm_extended,market,10,-10.0,43.66824361938561,5764.56336382721
2024-07-01,lightgbm_extended,market,10,-5.0,21.834121809692807,5742.729242017517
2024-07-01,lightgbm_extended,market,10,0.0,-0.0,5720.895120207824
2024-07-01,lightgbm_extended,market,10,5.0,-21.834121809692807,5699.060998398131
2024-07-01,lightgbm_extended,market,10,10.0,-43.66824361938561,5677.226876588438
2024-07-01,lightgbm_extended,market,100,-10.0,-23.727623242324043,5240.5834260003185
2024-07-01,lightgbm_extended,market,100,-5.0,-11.863811621162021,5252.44723762148
2024-07-01,lightgbm_extended,market,100,0.0,0.0,5264.311049242642
2024-07-01,lightgbm_extended,market,100,5.0,11.863811621162021,5276.1748608638045
2024-07-01,lightgbm_extended,market,100,10.0,23.727623242324043,5288.038672484966
2024-07-01,lightgbm_extended,market,250,-10.0,-44.0430261567857,4283.746885054392
2024-07-01,lightgbm_extended,market,250,-5.0,-22.02151307839285,4305.768398132785
2024-07-01,lightgbm_extended,market,250,0.0,0.0,4327.789911211177
2024-07-01,lightgbm_extended,market,250,5.0,22.02151307839285,4349.81142428957
2024-07-01,lightgbm_extended,market,250,10.0,44.0430261567857,4371.832937367963
2024-07-01,lightgbm_extended,market,50,-10.0,43.66824361938561,5764.56336382721
2024-07-01,lightgbm_extended,market,50,-5.0,21.834121809692807,5742.729242017517
2024-07-01,lightgbm_extended,market,50,0.0,-0.0,5720.895120207824
2024-07-01,lightgbm_extended,market,50,5.0,-21.834121809692807,5699.060998398131
2024-07-01,lightgbm_extended,market,50,10.0,-43.66824361938561,5677.226876588438
2024-07-01,lightgbm_qi_ofi,market,0,-10.0,45.64654196617802,5595.904952887076
2024-07-01,lightgbm_qi_ofi,market,0,-5.0,22.82327098308901,5573.081681903987
2024-07-01,lightgbm_qi_ofi,market,0,0.0,-0.0,5550.258410920898
2024-07-01,lightgbm_qi_ofi,market,0,5.0,-22.82327098308901,5527.435139937809
2024-07-01,lightgbm_qi_ofi,market,0,10.0,-45.64654196617802,5504.61186895472
2024-07-01,lightgbm_qi_ofi,market,10,-10.0,45.64654196617802,5595.904952887076
2024-07-01,lightgbm_qi_ofi,market,10,-5.0,22.82327098308901,5573.081681903987
2024-07-01,lightgbm_qi_ofi,market,10,0.0,-0.0,5550.258410920898
2024-07-01,lightgbm_qi_ofi,market,10,5.0,-22.82327098308901,5527.435139937809
2024-07-01,lightgbm_qi_ofi,market,10,10.0,-45.64654196617802,5504.61186895472
2024-07-01,lightgbm_qi_ofi,market,100,-10.0,-17.281728804156792,5306.154806990047
2024-07-01,lightgbm_qi_ofi,market,100,-5.0,-8.640864402078396,5314.795671392126
2024-07-01,lightgbm_qi_ofi,market,100,0.0,0.0,5323.436535794204
2024-07-01,lightgbm_qi_ofi,market,100,5.0,8.640864402078396,5332.077400196283
2024-07-01,lightgbm_qi_ofi,market,100,10.0,17.281728804156792,5340.718264598361
2024-07-01,lightgbm_qi_ofi,market,250,-10.0,-32.65419463124885,4400.051422997441
2024-07-01,lightgbm_qi_ofi,market,250,-5.0,-16.327097315624425,4416.378520313066
2024-07-01,lightgbm_qi_ofi,market,250,0.0,0.0,4432.70561762869
2024-07-01,lightgbm_qi_ofi,market,250,5.0,16.327097315624425,4449.032714944314
2024-07-01,lightgbm_qi_ofi,market,250,10.0,32.65419463124885,4465.359812259939
2024-07-01,lightgbm_qi_ofi,market,50,-10.0,45.64654196617802,5595.904952887076
2024-07-01,lightgbm_qi_ofi,market,50,-5.0,22.82327098308901,5573.081681903987
2024-07-01,lightgbm_qi_ofi,market,50,0.0,-0.0,5550.258410920898
2024-07-01,lightgbm_qi_ofi,market,50,5.0,-22.82327098308901,5527.435139937809
2024-07-01,lightgbm_qi_ofi,market,50,10.0,-45.64654196617802,5504.61186895472
2024-07-01,qi_direct_baseline,market,0,-10.0,84.27004616527748,5458.547119026181
2024-07-01,qi_direct_baseline,market,0,-5.0,42.13502308263874,5416.412095943541
2024-07-01,qi_direct_baseline,market,0,0.0,-0.0,5374.277072860903
2024-07-01,qi_direct_baseline,market,0,5.0,-42.13502308263874,5332.142049778265
2024-07-01,qi_direct_baseline,market,0,10.0,-84.27004616527748,5290.007026695625
2024-07-01,qi_direct_baseline,market,10,-10.0,84.27004616527748,5458.547119026181
2024-07-01,qi_direct_baseline,market,10,-5.0,42.13502308263874,5416.412095943541
2024-07-01,qi_direct_baseline,market,10,0.0,-0.0,5374.277072860903
2024-07-01,qi_direct_baseline,market,10,5.0,-42.13502308263874,5332.142049778265
2024-07-01,qi_direct_baseline,market,10,10.0,-84.27004616527748,5290.007026695625
2024-07-01,qi_direct_baseline,market,100,-10.0,66.3949155437659,5244.218296769519
2024-07-01,qi_direct_baseline,market,100,-5.0,33.19745777188295,5211.020838997636
2024-07-01,qi_direct_baseline,market,100,0.0,-0.0,5177.823381225753
2024-07-01,qi_direct_baseline,market,100,5.0,-33.19745777188295,5144.62592345387
2024-07-01,qi_direct_baseline,market,100,10.0,-66.3949155437659,5111.428465681987
