model,latency_ms,fee_bps,mean_daily_gross_bps,median_daily_gross_bps,min_daily_gross_bps,max_daily_gross_bps,positive_gross_days,negative_gross_days,positive_net_days,negative_net_days
lightgbm_extended,0,0.0,0.02681812822939834,0.32319686551931626,-1.5400217721477771,1.3026135274210482,4,2,4,2
lightgbm_extended,0,0.25,0.02681812822939834,0.32319686551931626,-1.5400217721477771,1.3026135274210482,4,2,4,2
lightgbm_extended,0,0.5,0.02681812822939834,0.32319686551931626,-1.5400217721477771,1.3026135274210482,4,2,2,4
lightgbm_extended,100,0.0,-0.1254102602753074,-0.01829168674111148,-1.5243415922021,0.9935852078241508,3,3,3,3
lightgbm_extended,100,0.25,-0.1254102602753074,-0.01829168674111148,-1.5243415922021,0.9935852078241508,3,3,3,3
lightgbm_extended,100,0.5,-0.1254102602753074,-0.01829168674111148,-1.5243415922021,0.9935852078241508,3,3,2,4
lightgbm_qi_ofi,0,0.0,0.15647379696489147,0.17105281475374431,-0.7123016964960837,1.1021990692287496,4,2,4,2
lightgbm_qi_ofi,0,0.25,0.15647379696489147,0.17105281475374431,-0.7123016964960837,1.1021990692287496,4,2,3,3
lightgbm_qi_ofi,0,0.5,0.15647379696489147,0.17105281475374431,-0.7123016964960837,1.1021990692287496,4,2,1,5
lightgbm_qi_ofi,100,0.0,-0.004184035656870357,-0.05737394430043574,-0.8039033730151972,0.8473864413001648,3,3,3,3
lightgbm_qi_ofi,100,0.25,-0.004184035656870357,-0.05737394430043574,-0.8039033730151972,0.8473864413001648,3,3,2,4
lightgbm_qi_ofi,100,0.5,-0.004184035656870357,-0.05737394430043574,-0.8039033730151972,0.8473864413001648,3,3,2,4
qi_direct_baseline,0,0.0,0.3283202655688327,0.2459407720184455,-0.591514762426816,1.753708884256673,4,2,4,2
qi_direct_baseline,0,0.25,0.3283202655688327,0.2459407720184455,-0.591514762426816,1.753708884256673,4,2,3,3
qi_direct_baseline,0,0.5,0.3283202655688327,0.2459407720184455,-0.591514762426816,1.753708884256673,4,2,2,4
qi_direct_baseline,100,0.0,0.14013936261680437,0.3025094861565313,-1.099967791071949,1.3842560612787989,4,2,4,2
qi_direct_baseline,100,0.25,0.14013936261680437,0.3025094861565313,-1.099967791071949,1.3842560612787989,4,2,4,2
qi_direct_baseline,100,0.5,0.14013936261680437,0.3025094861565313,-1.099967791071949,1.3842560612787989,4,2,1,5
