date,model,mode,latency_ms,parent_orders,fills,filled_parent_orders,fill_rate,turnover,gross_pnl,gross_pnl_bps_of_turnover,terminal_position,terminal_notional_exposure,max_inventory,mean_implementation_shortfall,mean_levels_consumed,full_fills,partial_fills,expired_or_no_fill,mean_fill_fraction,maker_fill_count,taker_on_arrival_count,average_signed_markout_100ms,average_signed_markout_500ms,average_signed_markout_1000ms,average_signed_markout_5000ms,order_notional_usd
2024-07-01,lightgbm_extended,market,0,20465,21010,20465,1.0,20675661.127751283,557.1629497729152,0.2694776947301966,-0.022044413081371,-1386.5934725961704,0.039614343492246115,5.956683306376449e-07,1.0266308331297338,20459,6,0,,0,0,2.4843902230922276e-06,7.879730735342648e-06,1.1295084631228459e-05,2.2614912912284946e-05,1000.0
2024-07-01,lightgbm_extended,market,0,20465,27069,20465,1.0,206518401.8921641,5720.895120207824,0.27701624009249565,-0.6942487613772562,-43668.24361938561,1.3794587327395869,5.607924162474779e-06,1.322697288052773,20400,65,0,,0,0,-1.1470008889870075e-06,7.897819286336045e-06,1.320663130130423e-05,3.317290279233343e-05,10000.0
2024-07-01,lightgbm_extended,market,0,20465,62042,20465,1.0,1002315397.8911833,42480.2060295234,0.42382074663224195,-27.140307100534674,-1707125.1809220957,42.261880524995625,2.399124339209337e-05,3.0316149523576836,18544,1921,0,,0,0,-1.8216455631339674e-05,-4.433906925066403e-06,5.359058612691781e-06,4.1181514429523256e-05,50000.0
2024-07-01,lightgbm_qi_ofi,market,0,21789,22328,21789,1.0,22009155.632882774,538.6686468307612,0.24474752953537365,-0.014293386859857812,-899.0539620181221,0.039866269800857085,5.573493943812967e-07,1.0247372527422094,21782,7,0,,0,0,2.0275097006835947e-06,6.86497489167971e-06,1.0038518100309243e-05,2.0311356547825318e-05,1000.0
2024-07-01,lightgbm_qi_ofi,market,0,21789,28164,21789,1.0,219850080.70557386,5550.258410920898,0.2524565100503137,-0.725700247928128,-45646.54196617802,1.329395406760148,5.1850238244400755e-06,1.2925788241773373,21725,64,0,,0,0,-1.1746693451358321e-06,7.1725650179540575e-06,1.2107392735846244e-05,3.050569239677974e-05,10000.0
2024-07-01,lightgbm_qi_ofi,market,0,21789,62561,21789,1.0,1070342581.21916,46394.217771891505,0.43345204223349465,-37.286322351835985,-2345309.489498872,47.90327817468505,2.320455963619515e-05,2.8712194226444536,19932,1857,0,,0,0,-1.806746625504239e-05,-4.554920804155114e-06,5.1598117236679265e-06,3.9765103857023706e-05,50000.0
2024-07-01,qi_direct_baseline,market,0,14240,14840,14240,1.0,14311003.431614552,510.64877090575806,0.35682247813432827,-0.01787003128409883,-1124.02487841966,0.04309756618593785,9.409306670726953e-07,1.0421348314606742,14232,8,0,,0,0,3.0380912284871487e-06,1.0111620665223022e-05,1.4818793282112858e-05,2.915858992766313e-05,1000.0
2024-07-01,qi_direct_baseline,market,0,14240,20117,14240,1.0,142876210.0156418,5374.277072860903,0.3761491904266314,-1.339746468426229,-84270.04616527747,1.870617457951455,6.77987427046345e-06,1.4127106741573034,14179,61,0,,0,0,-1.088351731772336e-06,1.0535309514301707e-05,1.7416548354535208e-05,3.987896339199093e-05,10000.0
2024-07-01,qi_direct_baseline,market,0,14240,53342,14240,1.0,689264069.9882346,41785.719566774555,0.6062367296686133,-32.78235472195457,-2062009.948099169,37.57466725756305,2.6265582974063443e-05,3.7459269662921346,12593,1647,0,,0,0,-2.0051134179316097e-05,-3.871511060687814e-06,7.55959931271686e-06,4.713831167012355e-05,50000.0
2025-01-01,lightgbm_extended,market,0,14389,27000,14389,1.0,14073842.087814094,575.1617379469244,0.40867428692050695,0.8492766086352386,80334.59036955364,0.8720371867027849,4.4967586408753024e-06,1.876433386614775,13606,783,0,,0,0,1.8384667942782235e-06,1.2538030790752175e-05,2.073016395430312e-05,4.5435773682898375e-05,1000.0
2025-01-01,lightgbm_extended,market,0,14389,45955,14389,1.0,125543627.33031267,16353.482724197209,1.3026135274210482,39.261044736975684,3713772.3026353857,39.646169177055114,7.136787681785725e-06,3.193759121551185,11306,3083,0,,0,0,-7.049328449116582e-07,1.0621985483392377e-05,1.9453461293108273e-05,4.9970328056547596e-05,10000.0
