date,model,mode,latency_ms,parent_orders,fills,filled_parent_orders,fill_rate,turnover,gross_pnl,gross_pnl_bps_of_turnover,terminal_position,terminal_notional_exposure,max_inventory,mean_implementation_shortfall,mean_levels_consumed,full_fills,partial_fills,expired_or_no_fill,mean_fill_fraction,maker_fill_count,taker_on_arrival_count,average_signed_markout_100ms,average_signed_markout_500ms,average_signed_markout_1000ms,average_signed_markout_5000ms,queue_fraction,ttl_ms
2024-07-01,lightgbm_extended,passive,0,20465,11261,959,0.04686049352553139,8206835.489771799,-2524.502589485841,-3.076097470982738,14.33240020616606,901507.9013058442,14.491473749125978,-2.0984137762190323e-07,0.0,699,260,19506,0.039939186207142256,11261,0,-7.294316966175601e-05,-8.903558422610436e-05,-9.79397098850054e-05,-0.00014329458654891914,0.5,1000
2024-07-01,lightgbm_extended,passive,0,20465,9501,633,0.030930857561690693,4866605.998529209,-3630.264330080594,-7.459540244634015,11.957668360736466,752137.280101982,11.957668360736466,-1.9750778566219973e-07,0.0,390,243,19832,0.023682415223913997,9501,0,-8.853923819075048e-05,-0.00010300249237838641,-0.00010995416381369382,-0.00014437388197153765,1.0,1000
2024-07-01,lightgbm_qi_ofi,passive,0,21789,14122,1161,0.05328376703841388,9890614.889848404,-1528.6788283472415,-1.5455852294039447,10.386593375422901,653316.6713811336,11.029137326787579,-2.7461796892171e-07,0.0,839,322,20628,0.04533174421950933,14122,0,-7.827852223401292e-05,-9.583075382655883e-05,-0.00010666280523017882,-0.00014615519575319848,0.5,1000
2024-07-01,lightgbm_qi_ofi,passive,0,21789,12060,793,0.03639451099178485,6125189.791964068,-3080.5074360552244,-5.029244057215486,9.130302156076135,574295.9599656782,10.06877227302567,-3.4183513970957855e-07,0.0,497,296,20996,0.028111386227098304,12060,0,-9.322343980259134e-05,-0.00010873946625068069,-0.00011684898244945549,-0.00015091894030667703,1.0,1000
2024-07-01,qi_direct_baseline,passive,0,14240,3502,401,0.02816011235955056,3692990.186495441,-1651.6785256176372,-4.472469305923178,5.905199996172475,371437.0502332487,6.310805313727813,-1.2112185191402175e-06,0.0,334,67,13839,0.02584065436172077,3502,0,-0.00011333818365736679,-0.00013648178292117975,-0.00015074339836314914,-0.00018486490424024745,0.5,1000
2024-07-01,qi_direct_baseline,passive,0,14240,1972,210,0.014747191011235955,1879536.6388541388,-1035.9125899009377,-5.511531770577682,1.943989932014357,122276.9570037534,3.6595463441971856,-2.0118706247781496e-06,0.0,172,38,14030,0.013128770964257372,1972,0,-0.00014105230024999424,-0.00015450348990506962,-0.0001528900626330091,-0.00011454134612318728,1.0,1000
2025-07-01,lightgbm_extended,passive,0,8075,35080,625,0.07739938080495357,4269916.915662334,-1020.5698176846781,-2.3901397564462235,2.054340785688375,217105.06590833922,2.7284078453087535,-4.698487189905154e-08,0.0,320,305,7450,0.052754389175656925,35080,0,-7.861372508282488e-05,-9.332903677256615e-05,-0.00010584793124613155,-0.00013297252138120348,0.5,1000
2025-07-01,lightgbm_extended,passive,0,8075,28417,478,0.05919504643962848,3093965.586918592,-1477.6149115925655,-4.775796207430294,2.5871867503422927,273416.8322331351,2.830334206487229,-4.6992658787895734e-08,0.0,224,254,7597,0.03819152445640373,28417,0,-8.73636281290855e-05,-0.00010129268422112525,-0.00011399612197879292,-0.00013696392550693588,1.0,1000
2025-07-01,lightgbm_qi_ofi,passive,0,14222,32656,705,0.04957108704823513,5386084.798483944,3494.7917433966795,6.48855685372867,-0.728922029343999,-77033.30738757711,2.4579636966534153,-7.938830666255774e-08,0.0,429,276,13517,0.03787149914627564,32656,0,-8.285422079459005e-05,-9.51825426459512e-05,-0.00010722867210028603,-0.00013317678069248444,0.5,1000
2025-07-01,lightgbm_qi_ofi,passive,0,14222,24731,471,0.033117704964140064,3420761.7642463576,3031.4239216506103,8.861838767419911,-1.1087532256470995,-117174.29932129658,2.4595120587028996,-7.943137616090745e-08,0.0,262,209,13751,0.024052605628227402,24731,0,-9.037304197257248e-05,-0.00010379961624342868,-0.00011919447452211673,-0.00013966379181013275,1.0,1000
2025-07-01,qi_direct_baseline,passive,0,10643,6591,262,0.024617119233298883,2333849.0457288376,176.04491649742704,0.7543114959367476,0.613691485230478,64855.61269899265,1.0745048402069632,-5.4513968339386035e-08,0.0,208,54,10381,0.02177607318361412,6591,0,-0.00011239142033090413,-0.00013842836503218933,-0.00015800117902869913,-0.0001663519431912968,0.5,1000
2025-07-01,qi_direct_baseline,passive,0,10643,5847,140,0.013154185849854364,1244264.897416428,-164.28016741131432,-1.3202989793606092,1.2518573910917188,132297.70994871174,1.2518573910917188,-5.51590508962771e-08,0.0,107,33,10503,0.011548541039748228,5847,0,-0.00011182155666106736,-0.00013359967740482397,-0.00014570136087064967,-0.00012336647316237557,1.0,1000
