date,model,mode,latency_ms,parent_orders,fills,filled_parent_orders,fill_rate,turnover,gross_pnl,gross_pnl_bps_of_turnover,terminal_position,terminal_notional_exposure,max_inventory,mean_implementation_shortfall,mean_levels_consumed,full_fills,partial_fills,expired_or_no_fill,mean_fill_fraction,maker_fill_count,taker_on_arrival_count,average_signed_markout_100ms,average_signed_markout_500ms,average_signed_markout_1000ms,average_signed_markout_5000ms,queue_fraction,ttl_ms
2024-07-01,lightgbm_extended,passive,0,20465,5052,350,0.017102369899828978,2499999.9993321393,-2309.0914492940065,-9.236365799643469,9.241005728554025,581259.2141210196,9.437945302627996,-2.540138802270757e-07,0.0,192,158,20115,0.01217532505326423,5052,0,-8.821983084550706e-05,-9.934414451298452e-05,-0.0001063985738118682,-0.00013837469174368994,1.0,500
2024-07-01,lightgbm_extended,passive,0,20465,9501,633,0.030930857561690693,4866605.998529209,-3630.264330080594,-7.459540244634015,11.957668360736466,752137.280101982,11.957668360736466,-1.9750778566219973e-07,0.0,390,243,19832,0.023682415223913997,9501,0,-8.853923819075048e-05,-0.00010300249237838641,-0.00010995416381369382,-0.00014437388197153765,1.0,1000
2024-07-01,lightgbm_extended,passive,0,20465,12961,905,0.04422184216955778,7258062.678133755,-4572.730134406709,-6.300207558392817,15.663949208576707,985262.3268997289,15.734007784819942,-1.668449039898381e-07,0.0,595,310,19560,0.03536800866577058,12961,0,-8.772393174664711e-05,-0.0001014369809491527,-0.0001079862641428671,-0.00014025309468838044,1.0,2000
2024-07-01,lightgbm_qi_ofi,passive,0,21789,6001,444,0.020377254577998074,3125096.9392015734,-1535.530262022221,-4.91354441764783,5.2681995307621365,331369.7241439407,7.086352258517483,-5.854406821570817e-07,0.0,245,199,21345,0.014342546367674285,6001,0,-9.516682606996882e-05,-0.00010796454805292585,-0.00011678605416120127,-0.0001443655076085099,1.0,500
2024-07-01,lightgbm_qi_ofi,passive,0,21789,12060,793,0.03639451099178485,6125189.791964068,-3080.5074360552244,-5.029244057215486,9.130302156076135,574295.9599656782,10.06877227302567,-3.4183513970957855e-07,0.0,497,296,20996,0.028111386227098304,12060,0,-9.322343980259134e-05,-0.00010873946625068069,-0.00011684898244945549,-0.00015091894030667703,1.0,1000
2024-07-01,lightgbm_qi_ofi,passive,0,21789,16971,1140,0.05231997797053559,9088395.046375584,-4208.255238176091,-4.630361264780547,15.65577096103591,984747.915170304,16.68250496491971,-2.665361699303025e-07,0.0,755,385,20649,0.041710933185558074,16971,0,-9.013652766445164e-05,-0.0001062799265378549,-0.00011391352989709938,-0.00014472655282133975,1.0,2000
2024-07-01,qi_direct_baseline,passive,0,14240,1066,109,0.007654494382022472,944925.8525257187,-939.2407279302133,-9.939835230665883,2.8231972787656865,177579.0947183753,3.7028951888593222,-3.3999490943737764e-06,0.0,85,24,14131,0.006635718900445224,1066,0,-0.00015353874431931066,-0.00015881608415245266,-0.0001486742377655636,-5.656324306454607e-05,1.0,500
2024-07-01,qi_direct_baseline,passive,0,14240,1972,210,0.014747191011235955,1879536.6388541388,-1035.9125899009377,-5.511531770577682,1.943989932014357,122276.9570037534,3.6595463441971856,-2.0118706247781496e-06,0.0,172,38,14030,0.013128770964257372,1972,0,-0.00014105230024999424,-0.00015450348990506962,-0.0001528900626330091,-0.00011454134612318728,1.0,1000
2024-07-01,qi_direct_baseline,passive,0,14240,3196,334,0.02345505617977528,3095948.985062055,-918.0327291976428,-2.965270854355637,3.8665362178391107,243205.108769399,6.872469824371867,-1.2754413744401914e-06,0.0,286,48,13906,0.021670992562294943,3196,0,-0.00014174080142799884,-0.00015792759093201928,-0.00015778790279987877,-0.00014080205193941453,1.0,2000
2025-07-01,lightgbm_extended,passive,0,8075,14428,265,0.03281733746130031,1555853.603058076,-635.2324020082015,-4.082854587087329,1.4436523967134796,152566.8238301508,1.5807657549936902,-4.698770949120914e-08,0.0,105,160,7810,0.019143697960078622,14428,0,-7.60590545745522e-05,-8.631200851179973e-05,-9.475549050256616e-05,-0.0001237102446640741,1.0,500
