stage,function/module,cumulative time,self time,call count,fraction of stage runtime,optimization candidate,reason
phase3_book_replay,run_phase16_performance.py:574:phase3,0.030966416000000004,1.45e-05,1,0.9931154713137309,no,profiled for Phase 16 baseline evidence
phase3_book_replay,replay.py:109:replay_events,0.030951916000000003,0.002387652,1,0.9926504457733503,no,profiled for Phase 16 baseline evidence
phase3_book_replay,replay.py:128:flush_group,0.027813032,0.002124682,2501,0.8919841541670136,no,profiled for Phase 16 baseline evidence
phase3_book_replay,state.py:110:metrics,0.020862968000000003,0.0049117530000000005,2502,0.6690905495270516,no,profiled for Phase 16 baseline evidence
phase3_book_replay,state.py:87:depth,0.01052641,0.00487864,5004,0.3375896205873992,no,profiled for Phase 16 baseline evidence
phase3_book_replay,state.py:80:top_n,0.005650103,0.0022968140000000003,5006,0.18120291039867592,no,profiled for Phase 16 baseline evidence
phase3_book_replay,replay.py:87:_apply_event,0.0036971290000000004,0.001086917,2520,0.11856961455735343,no,profiled for Phase 16 baseline evidence
phase3_book_replay,state.py:85:<listcomp>,0.003353289,0.003353289,5006,0.10754241581221892,no,profiled for Phase 16 baseline evidence
phase5_feature_engineering,run_phase16_performance.py:610:<lambda>,2.6682385830000004,1.458e-06,1,0.9999922076427917,no,profiled for Phase 16 baseline evidence
phase5_feature_engineering,run_phase16_performance.py:577:phase5_reference,2.668237125,0.008312542000000001,1,0.9999916612191517,no,profiled for Phase 16 baseline evidence
phase5_feature_engineering,phase16.py:157:build_feature_table_reference,2.659900125,0.024039635,1,0.9968671523809112,no,profiled for Phase 16 baseline evidence
phase5_feature_engineering,engineering.py:531:_trade_window_features,2.186412557,1.487852237,900,0.819415300274275,yes,measured Python window aggregation path
phase5_feature_engineering,engineering.py:89:signed_quantity,0.333833204,0.333833204,2829406,0.1251127259681135,yes,measured Python window aggregation path
phase5_feature_engineering,engineering.py:93:notional,0.32608623800000003,0.32608623800000003,2829406,0.12220934780611888,yes,measured Python window aggregation path
phase5_feature_engineering,engineering.py:522:_ofi_window_features,0.147635328,0.008113504,900,0.055330201172189425,yes,measured Python window aggregation path
phase5_feature_engineering,engineering.py:256:_sum_decimal,0.127298262,0.07360923200000001,4500,0.047708353689775905,yes,measured Python window aggregation path
phase11_market_execution,run_phase16_performance.py:265:run_market_fixture,0.634395791,0.006735597,1,0.9986959311882029,no,profiled for Phase 16 baseline evidence
phase11_market_execution,simulator.py:506:artifact_hash,0.5485420830000001,0.005603718000000001,1,0.8635409536908506,no,profiled for Phase 16 baseline evidence
