date,feature,horizon,bucket,independent_mean_ret_fwd_1s,production_mean_ret_fwd_1s,mean_return_abs_diff,independent_mean_future_move_bps,production_mean_future_move_bps,mean_move_abs_diff,independent_count,production_count,count_matches,bucket_low_feature_to_high_feature,labels_used_for_bucket_assignment,sorted_by_future_return
2024-01-01,qi_1,1s,1,-2.33677776529e-05,-2.33677776529e-05,9.04631187668e-19,-0.233660694197,-0.233660694197,6.85007606194e-14,86399,86399,True,True,False,False
2024-01-01,qi_1,1s,2,-1.02671919801e-05,-1.02671919801e-05,1.92767758136e-17,-0.10266219319,-0.10266219319,3.90923404758e-13,86399,86399,True,True,False,False
2024-01-01,qi_1,1s,3,-5.14749052699e-06,-5.14749052699e-06,2.75201004563e-18,-0.0514684034077,-0.0514684034077,1.59317004034e-14,86398,86398,True,True,False,False
2024-01-01,qi_1,1s,4,-2.27008957688e-06,-2.27008957688e-06,1.84017907791e-18,-0.0226957829222,-0.0226957829222,4.59007831743e-15,86399,86399,True,True,False,False
2024-01-01,qi_1,1s,5,-8.70970638487e-07,-8.70970638487e-07,3.81376584501e-19,-0.00870427748975,-0.00870427748975,2.91953961007e-15,86398,86398,True,True,False,False
2024-01-01,qi_1,1s,6,2.03186146898e-06,2.03186146898e-06,3.68374628761e-18,0.0203238434469,0.0203238434469,1.2635725799e-14,86396,86396,True,True,False,False
2024-01-01,qi_1,1s,7,3.93358715278e-06,3.93358715278e-06,3.61598365183e-18,0.039341686456,0.039341686456,2.67078026361e-14,86397,86397,True,True,False,False
2024-01-01,qi_1,1s,8,5.89253790383e-06,5.89253790383e-06,1.69067776272e-18,0.0589318932633,0.0589318932633,2.39391839685e-15,86393,86393,True,True,False,False
2024-01-01,qi_1,1s,9,1.01337516644e-05,1.01337516644e-05,5.56161833167e-18,0.101347394586,0.101347394586,3.25114934974e-13,86399,86399,True,True,False,False
2024-01-01,qi_1,1s,10,2.50093618771e-05,2.50093618771e-05,1.62799732462e-17,0.250111845054,0.250111845054,2.96929147936e-13,86398,86398,True,True,False,False
2024-06-01,qi_1,1s,1,-6.98907820766e-06,-6.98907820766e-06,2.50298235914e-18,-0.069886563547,-0.069886563547,1.07414077632e-14,86395,86395,True,True,False,False
2024-06-01,qi_1,1s,2,-2.26574630053e-06,-2.26574630053e-06,1.56870501831e-18,-0.0226552178153,-0.0226552178153,3.46250805805e-15,86395,86395,True,True,False,False
2024-06-01,qi_1,1s,3,-1.26112783797e-06,-1.26112783797e-06,3.35022706463e-18,-0.0126099077223,-0.0126099077223,9.19403442268e-15,86394,86394,True,True,False,False
