date,feature_cutoff_time,horizon,target_time,independent_actual_label_time,stored_actual_label_time,independent_label_delay_ms,stored_label_delay_ms,mid_T,independent_future_mid,stored_future_mid_reconstructed,independent_ret,stored_ret,absolute_difference,within_tolerance,target_time_gt_T,actual_time_gte_target,delay_within_tolerance,future_index_gt_current_index
2024-01-01,2024-01-01 03:09:21.670515+00:00,100ms,2024-01-01T03:09:21.770515+00:00,2024-01-01T03:09:21.770515+00:00,2024-01-01T03:09:21.770515+00:00,0,0,42543.715,42543.715,42543.715,0,0,0,True,True,True,True,True
2024-01-01,2024-01-01 03:09:21.670515+00:00,1s,2024-01-01T03:09:22.670515+00:00,2024-01-01T03:09:22.670515+00:00,2024-01-01T03:09:22.670515+00:00,0,0,42543.715,42543.715,42543.715,0,0,0,True,True,True,True,True
2024-01-01,2024-01-01 03:09:21.670515+00:00,5s,2024-01-01T03:09:26.670515+00:00,2024-01-01T03:09:26.670515+00:00,2024-01-01T03:09:26.670515+00:00,0,0,42543.715,42543.715,42543.715,0,0,0,True,True,True,True,True
2024-01-01,2024-01-01 03:09:21.670515+00:00,30s,2024-01-01T03:09:51.670515+00:00,2024-01-01T03:09:51.670515+00:00,2024-01-01T03:09:51.670515+00:00,0,0,42543.715,42540.485,42540.485,-7.59247898329e-05,-7.59247898329e-05,0,True,True,True,True,True
2024-01-01,2024-01-01 15:44:22.170515+00:00,100ms,2024-01-01T15:44:22.270515+00:00,2024-01-01T15:44:22.270515+00:00,2024-01-01T15:44:22.270515+00:00,0,0,42799.35,42799.995,42799.995,1.50702087737e-05,1.50702087737e-05,1.69406589451e-21,True,True,True,True,True
2024-01-01,2024-01-01 15:44:22.170515+00:00,1s,2024-01-01T15:44:23.170515+00:00,2024-01-01T15:44:23.170515+00:00,2024-01-01T15:44:23.170515+00:00,0,0,42799.35,42796.015,42796.015,-7.79247801954e-05,-7.79247801954e-05,0,True,True,True,True,True
2024-01-01,2024-01-01 15:44:22.170515+00:00,5s,2024-01-01T15:44:27.170515+00:00,2024-01-01T15:44:27.170515+00:00,2024-01-01T15:44:27.170515+00:00,0,0,42799.35,42796.015,42796.015,-7.79247801954e-05,-7.79247801954e-05,0,True,True,True,True,True
2024-01-01,2024-01-01 15:44:22.170515+00:00,30s,2024-01-01T15:44:52.170515+00:00,2024-01-01T15:44:52.170515+00:00,2024-01-01T15:44:52.170515+00:00,0,0,42799.35,42833.995,42833.995,0.00080914746213,0.00080914746213,3.35018471298e-17,True,True,True,True,True
2024-01-01,2024-01-01 04:28:14.670515+00:00,100ms,2024-01-01T04:28:14.770515+00:00,2024-01-01T04:28:14.770515+00:00,2024-01-01T04:28:14.770515+00:00,0,0,42278.955,42278.955,42278.955,0,0,0,True,True,True,True,True
2024-01-01,2024-01-01 04:28:14.670515+00:00,1s,2024-01-01T04:28:15.670515+00:00,2024-01-01T04:28:15.670515+00:00,2024-01-01T04:28:15.670515+00:00,0,0,42278.955,42278.955,42278.955,0,0,0,True,True,True,True,True
2024-01-01,2024-01-01 04:28:14.670515+00:00,5s,2024-01-01T04:28:19.670515+00:00,2024-01-01T04:28:19.670515+00:00,2024-01-01T04:28:19.670515+00:00,0,0,42278.955,42278.955,42278.955,0,0,0,True,True,True,True,True
2024-01-01,2024-01-01 04:28:14.670515+00:00,30s,2024-01-01T04:28:44.670515+00:00,2024-01-01T04:28:44.670515+00:00,2024-01-01T04:28:44.670515+00:00,0,0,42278.955,42274.245,42274.245,-0.000111409148438,-0.000111409148438,6.31683290744e-17,True,True,True,True,True
2024-01-01,2024-01-01 07:02:01.470515+00:00,100ms,2024-01-01T07:02:01.570515+00:00,2024-01-01T07:02:01.570515+00:00,2024-01-01T07:02:01.570515+00:00,0,0,42447.695,42447.695,42447.695,0,0,0,True,True,True,True,True
