date,selection_quantile,feature_cutoff_time,observation_time,source_row_number,best_bid,best_bid_quantity,best_ask,best_ask_quantity,mid_T,qi_1,microprice_deviation_bps,feature_book_observation_time,feature_book_event_time,feature_source_leq_T,target_time_1s,actual_label_time_1s,label_delay_ms_1s,mid_future_1s,ret_fwd_1s,target_time_gt_T,actual_label_time_gte_target,label_delay_within_tolerance,mid_future_from_future_state
2024-01-01,0.01,2024-01-01 03:09:21.670515+00:00,2024-01-01 03:09:21.670515+00:00,1564008,42543.71,0.01371,42543.72,13.62026,42543.715,-0.997988846976,-0.00117289809667,2024-01-01 03:09:21.657990+00:00,2024-01-01 03:09:21.654000+00:00,True,2024-01-01T03:09:22.670515+00:00,2024-01-01T03:09:22.670515+00:00,0,42543.715,0,True,True,True,True
2024-01-01,0.25,2024-01-01 15:44:22.170515+00:00,2024-01-01 15:44:22.170515+00:00,6707964,42798.71,0.15367,42799.99,0.76783,42799.35,-0.666478567553,-0.0996618601063,2024-01-01 15:44:22.125158+00:00,2024-01-01 15:44:22.119000+00:00,True,2024-01-01T15:44:23.170515+00:00,2024-01-01T15:44:23.170515+00:00,0,42796.015,-7.79247801954e-05,True,True,True,True
2024-01-01,0.5,2024-01-01 04:28:14.670515+00:00,2024-01-01 04:28:14.670515+00:00,2349883,42278.95,3.16217,42278.96,2.96202,42278.955,0.0326818730314,3.86502847946e-05,2024-01-01 04:28:14.596160+00:00,2024-01-01 04:28:14.592000+00:00,True,2024-01-01T04:28:15.670515+00:00,2024-01-01T04:28:15.670515+00:00,0,42278.955,0,True,True,True,True
2024-01-01,0.75,2024-01-01 07:02:01.470515+00:00,2024-01-01 07:02:01.470515+00:00,3366037,42447.69,13.4915,42447.7,2.52695,42447.695,0.684495066626,0.000806280607965,2024-01-01 07:02:01.373441+00:00,2024-01-01 07:02:01.369000+00:00,True,2024-01-01T07:02:02.470515+00:00,2024-01-01T07:02:02.470515+00:00,0,42447.695,0,True,True,True,True
2024-01-01,0.99,2024-01-01 08:51:33.770515+00:00,2024-01-01 08:51:33.770515+00:00,3990772,42524.51,17.18091,42524.52,0.01227,42524.515,0.998572689869,0.00117411414318,2024-01-01 08:51:33.770298+00:00,2024-01-01 08:51:33.767000+00:00,True,2024-01-01T08:51:34.770515+00:00,2024-01-01T08:51:34.770515+00:00,0,42524.615,2.35158196197e-06,True,True,True,True
2024-11-01,0.01,2024-11-01 07:25:54.137936+00:00,2024-11-01 07:25:54.137936+00:00,7584929,69268,0.01004,69268.01,4.09432,69268.005,-0.99510764163,-0.000718302513281,2024-11-01 07:25:54.115918+00:00,2024-11-01 07:25:54.114000+00:00,True,2024-11-01T07:25:55.137936+00:00,2024-11-01T07:25:55.137936+00:00,0,69260.005,-0.000115500107291,True,True,True,True
2024-11-01,0.25,2024-11-01 13:33:26.437936+00:00,2024-11-01 13:33:26.437936+00:00,13325620,70372,1.16457,70372.01,4.51578,70372.005,-0.589965407061,-0.0004191762101,2024-11-01 13:33:26.415704+00:00,2024-11-01 13:33:26.414000+00:00,True,2024-11-01T13:33:27.437936+00:00,2024-11-01T13:33:27.437936+00:00,0,70372.005,0,True,True,True,True
2024-11-01,0.5,2024-11-01 20:04:00.037936+00:00,2024-11-01 20:04:00.037936+00:00,27383680,69314,1.79869,69314.01,1.80713,69314.005,-0.00234066037684,-1.6884469284e-06,2024-11-01 20:04:00.015896+00:00,2024-11-01 20:04:00.014000+00:00,True,2024-11-01T20:04:01.037936+00:00,2024-11-01T20:04:01.037936+00:00,0,69314.005,0,True,True,True,True
2024-11-01,0.75,2024-11-01 08:23:50.237936+00:00,2024-11-01 08:23:50.237936+00:00,8421811,69440,3.98079,69440.01,1.0161,69440.005,0.593307036977,0.0004272083772,2024-11-01 08:23:50.215617+00:00,2024-11-01 08:23:50.214000+00:00,True,2024-11-01T08:23:51.237936+00:00,2024-11-01T08:23:51.237936+00:00,0,69440.005,0,True,True,True,True
2024-11-01,0.99,2024-11-01 10:02:03.637936+00:00,2024-11-01 10:02:03.637936+00:00,9503229,69553.99,10.60566,69554,0.02594,69553.995,0.995120207683,0.000715358052174,2024-11-01 10:02:03.615772+00:00,2024-11-01 10:02:03.614000+00:00,True,2024-11-01T10:02:04.637936+00:00,2024-11-01T10:02:04.637936+00:00,0,69556.955,4.25559598358e-05,True,True,True,True
2025-02-01,0.01,2025-02-01 09:57:01.296439+00:00,2025-02-01 09:57:01.296439+00:00,6448918,101646.71,0.00095,101646.72,2.98816,101646.715,-0.999364359291,-0.000491587140465,2025-02-01 09:57:01.216374+00:00,2025-02-01 09:57:01.214000+00:00,True,2025-02-01T09:57:02.296439+00:00,2025-02-01T09:57:02.296439+00:00,0,101640.455,-6.15877529504e-05,True,True,True,True
2025-02-01,0.25,2025-02-01 21:40:56.596439+00:00,2025-02-01 21:40:56.596439+00:00,15696137,101490.19,0.93094,101490.2,4.22511,101490.195,-0.638894114681,-0.000314756570662,2025-02-01 21:40:56.516093+00:00,2025-02-01 21:40:56.514000+00:00,True,2025-02-01T21:40:57.596439+00:00,2025-02-01T21:40:57.596439+00:00,0,101490.195,0,True,True,True,True
2025-02-01,0.5,2025-02-01 07:14:02.296439+00:00,2025-02-01 07:14:02.296439+00:00,4401088,102452.52,2.78358,102452.53,2.13925,102452.525,0.130886096006,6.38764618079e-05,2025-02-01 07:14:02.216171+00:00,2025-02-01 07:14:02.214000+00:00,True,2025-02-01T07:14:03.296439+00:00,2025-02-01T07:14:03.296439+00:00,0,102452.525,0,True,True,True,True
2025-02-01,0.75,2025-02-01 13:17:26.296439+00:00,2025-02-01 13:17:26.296439+00:00,8677519,102241.5,2.72312,102241.51,0.35528,102241.505,0.769178794179,0.000376157801168,2025-02-01 13:17:26.216437+00:00,2025-02-01 13:17:26.214000+00:00,True,2025-02-01T13:17:27.296439+00:00,2025-02-01T13:17:27.296439+00:00,0,102241.505,0,True,True,True,True
2025-02-01,0.99,2025-02-01 22:04:39.696439+00:00,2025-02-01 22:04:39.696439+00:00,16153788,101409.03,6.76857,101409.04,0.00114,101409.035,0.999663205662,0.000492886657319,2025-02-01 22:04:39.616570+00:00,2025-02-01 22:04:39.614000+00:00,True,2025-02-01T22:04:40.696439+00:00,2025-02-01T22:04:40.696439+00:00,0,101409.035,0,True,True,True,True
2025-11-01,0.01,2025-11-01 05:03:33.296879+00:00,2025-11-01 05:03:33.296879+00:00,3637580,110226,0.0028,110226.01,5.48638,110226.005,-0.998979811192,-0.000453150693066,2025-11-01 05:03:33.215748+00:00,2025-11-01 05:03:33.214354+00:00,True,2025-11-01T05:03:34.296879+00:00,2025-11-01T05:03:34.296879+00:00,0,110226.005,0,True,True,True,True
2025-11-01,0.25,2025-11-01 12:55:57.996879+00:00,2025-11-01 12:55:57.996879+00:00,7950952,110051.58,1.02953,110051.59,5.49579,110051.585,-0.684450724256,-0.00031096813565,2025-11-01 12:55:57.915816+00:00,2025-11-01 12:55:57.914376+00:00,True,2025-11-01T12:55:58.996879+00:00,2025-11-01T12:55:58.996879+00:00,0,110051.585,0,True,True,True,True
2025-11-01,0.5,2025-11-01 17:37:59.796879+00:00,2025-11-01 17:37:59.796879+00:00,11067597,110276.33,4.49714,110276.34,5.14841,110276.335,-0.0675202554546,-3.06141183666e-05,2025-11-01 17:37:59.716070+00:00,2025-11-01 17:37:59.714614+00:00,True,2025-11-01T17:38:00.796879+00:00,2025-11-01T17:38:00.796879+00:00,0,110276.335,0,True,True,True,True
2025-11-01,0.75,2025-11-01 19:24:23.096879+00:00,2025-11-01 19:24:23.096879+00:00,11870469,110276.86,5.25521,110276.87,1.46073,110276.865,0.564996113723,0.000256171642948,2025-11-01 19:24:23.016616+00:00,2025-11-01 19:24:23.015235+00:00,True,2025-11-01T19:24:24.096879+00:00,2025-11-01T19:24:24.096879+00:00,0,110276.865,0,True,True,True,True
2025-11-01,0.99,2025-11-01 22:07:38.196879+00:00,2025-11-01 22:07:38.196879+00:00,13214843,109956,8.11295,109956.01,0.00918,109956.005,0.997739509217,0.00045369941788,2025-11-01 22:07:38.115948+00:00,2025-11-01 22:07:38.114535+00:00,True,2025-11-01T22:07:39.196879+00:00,2025-11-01T22:07:39.196879+00:00,0,109972.045,0.000145865886852,True,True,True,True
