date,median_spread_bps,p95_spread_bps,minimum_spread_bps,fraction_at_minimum_spread,distinct_spread_values,horizon,group,qi_1_spearman_ic,count
2024-01-01,0.00234400005719,0.00236395582003,0.00226325785331,1.157426162e-06,22903,100ms,minimum_spread,,1
2024-01-01,0.00234400005719,0.00236395582003,0.00226325785331,1.157426162e-06,22903,100ms,wider_spread,0.252600168165,863985
2024-01-01,0.00234400005719,0.00236395582003,0.00226325785331,1.157426162e-06,22903,500ms,minimum_spread,,1
2024-01-01,0.00234400005719,0.00236395582003,0.00226325785331,1.157426162e-06,22903,500ms,wider_spread,0.372058729258,863985
2024-01-01,0.00234400005719,0.00236395582003,0.00226325785331,1.157426162e-06,22903,1s,minimum_spread,,1
2024-01-01,0.00234400005719,0.00236395582003,0.00226325785331,1.157426162e-06,22903,1s,wider_spread,0.428730878516,863985
2024-01-01,0.00234400005719,0.00236395582003,0.00226325785331,1.157426162e-06,22903,5s,minimum_spread,,1
2024-01-01,0.00234400005719,0.00236395582003,0.00226325785331,1.157426162e-06,22903,5s,wider_spread,0.456521292057,863985
2024-01-01,0.00234400005719,0.00236395582003,0.00226325785331,1.157426162e-06,22903,30s,minimum_spread,,1
2024-01-01,0.00234400005719,0.00236395582003,0.00226325785331,1.157426162e-06,22903,30s,wider_spread,0.25015020767,863985
2024-02-01,0.00236712975221,0.00238023972584,0.0023102624747,5.78717099933e-06,27465,100ms,minimum_spread,0.707106781187,5
2024-02-01,0.00236712975221,0.00238023972584,0.0023102624747,5.78717099933e-06,27465,100ms,wider_spread,0.283863209516,863975
2024-02-01,0.00236712975221,0.00238023972584,0.0023102624747,5.78717099933e-06,27465,500ms,minimum_spread,-0.158113883008,5
2024-02-01,0.00236712975221,0.00238023972584,0.0023102624747,5.78717099933e-06,27465,500ms,wider_spread,0.395905865789,863975
2024-02-01,0.00236712975221,0.00238023972584,0.0023102624747,5.78717099933e-06,27465,1s,minimum_spread,,5
2024-02-01,0.00236712975221,0.00238023972584,0.0023102624747,5.78717099933e-06,27465,1s,wider_spread,0.438343730008,863975
2024-02-01,0.00236712975221,0.00238023972584,0.0023102624747,5.78717099933e-06,27465,5s,minimum_spread,,5
2024-02-01,0.00236712975221,0.00238023972584,0.0023102624747,5.78717099933e-06,27465,5s,wider_spread,0.409942073868,863975
2024-02-01,0.00236712975221,0.00238023972584,0.0023102624747,5.78717099933e-06,27465,30s,minimum_spread,0.105409255339,5
2024-02-01,0.00236712975221,0.00238023972584,0.0023102624747,5.78717099933e-06,27465,30s,wider_spread,0.187671482147,863975
2024-03-01,0.00161490192741,0.00164012116887,0.00158442886687,1.15749314764e-05,37816,100ms,minimum_spread,0.523822721827,10
2024-03-01,0.00161490192741,0.00164012116887,0.00158442886687,1.15749314764e-05,37816,100ms,wider_spread,0.329379352777,863926
2024-03-01,0.00161490192741,0.00164012116887,0.00158442886687,1.15749314764e-05,37816,500ms,minimum_spread,0.723371184771,10
2024-03-01,0.00161490192741,0.00164012116887,0.00158442886687,1.15749314764e-05,37816,500ms,wider_spread,0.431838868317,863926
2024-03-01,0.00161490192741,0.00164012116887,0.00158442886687,1.15749314764e-05,37816,1s,minimum_spread,0.130144801574,10
2024-03-01,0.00161490192741,0.00164012116887,0.00158442886687,1.15749314764e-05,37816,1s,wider_spread,0.454726168279,863926
2024-03-01,0.00161490192741,0.00164012116887,0.00158442886687,1.15749314764e-05,37816,5s,minimum_spread,,10
2024-03-01,0.00161490192741,0.00164012116887,0.00158442886687,1.15749314764e-05,37816,5s,wider_spread,0.347149551749,863926
2024-03-01,0.00161490192741,0.00164012116887,0.00158442886687,1.15749314764e-05,37816,30s,minimum_spread,-0.558744236616,10
2024-03-01,0.00161490192741,0.00164012116887,0.00158442886687,1.15749314764e-05,37816,30s,wider_spread,0.160327897346,863926
2024-04-01,0.00143614267015,0.00146028048045,0.0014033920688,1.85198260525e-05,35969,100ms,minimum_spread,0.281091347571,16
2024-04-01,0.00143614267015,0.00146028048045,0.0014033920688,1.85198260525e-05,35969,100ms,wider_spread,0.294970690842,863923
2024-04-01,0.00143614267015,0.00146028048045,0.0014033920688,1.85198260525e-05,35969,500ms,minimum_spread,0.513783090392,16
2024-04-01,0.00143614267015,0.00146028048045,0.0014033920688,1.85198260525e-05,35969,500ms,wider_spread,0.412256838816,863923
2024-04-01,0.00143614267015,0.00146028048045,0.0014033920688,1.85198260525e-05,35969,1s,minimum_spread,0.815164907955,16
2024-04-01,0.00143614267015,0.00146028048045,0.0014033920688,1.85198260525e-05,35969,1s,wider_spread,0.448297085251,863923
2024-04-01,0.00143614267015,0.00146028048045,0.0014033920688,1.85198260525e-05,35969,5s,minimum_spread,,16
2024-04-01,0.00143614267015,0.00146028048045,0.0014033920688,1.85198260525e-05,35969,5s,wider_spread,0.399780879334,863923
2024-04-01,0.00143614267015,0.00146028048045,0.0014033920688,1.85198260525e-05,35969,30s,minimum_spread,,16
2024-04-01,0.00143614267015,0.00146028048045,0.0014033920688,1.85198260525e-05,35969,30s,wider_spread,0.218497288436,863923
2024-05-01,0.00172854826232,0.00175598776463,0.00164361158993,5.09267511279e-05,53458,100ms,minimum_spread,0.186268131226,44
2024-05-01,0.00172854826232,0.00175598776463,0.00164361158993,5.09267511279e-05,53458,100ms,wider_spread,0.361198911995,863942
2024-05-01,0.00172854826232,0.00175598776463,0.00164361158993,5.09267511279e-05,53458,500ms,minimum_spread,0.0729688654828,44
2024-05-01,0.00172854826232,0.00175598776463,0.00164361158993,5.09267511279e-05,53458,500ms,wider_spread,0.406608712488,863942
2024-05-01,0.00172854826232,0.00175598776463,0.00164361158993,5.09267511279e-05,53458,1s,minimum_spread,0.121145606481,44
2024-05-01,0.00172854826232,0.00175598776463,0.00164361158993,5.09267511279e-05,53458,1s,wider_spread,0.389387222536,863942
2024-05-01,0.00172854826232,0.00175598776463,0.00164361158993,5.09267511279e-05,53458,5s,minimum_spread,,44
