date,feature,horizon,bucket,mean_future_return,mean_future_move_bps,median_future_move_bps,observation_count,row_type,top_minus_bottom_move_bps,monotonicity_spearman,median,std,t_stat,positive_days,positive_pct,valid_days
2024-01-01,di_10,100ms,1,-3.78399803825e-06,-0.0378386042919,0,86399,daily_bucket,,,,,,,,
2024-01-01,di_10,100ms,2,-8.4846788852e-07,-0.00848424877004,0,86399,daily_bucket,,,,,,,,
2024-01-01,di_10,100ms,3,-4.03300989925e-07,-0.00403276039384,0,86398,daily_bucket,,,,,,,,
2024-01-01,di_10,100ms,4,-1.7457988583e-07,-0.00174562991668,0,86399,daily_bucket,,,,,,,,
2024-01-01,di_10,100ms,5,-4.53537520495e-08,-0.000453374687509,0,86398,daily_bucket,,,,,,,,
2024-01-01,di_10,100ms,6,1.4254982856e-07,0.00142574077053,0,86399,daily_bucket,,,,,,,,
2024-01-01,di_10,100ms,7,2.97115353562e-07,0.00297139292259,0,86398,daily_bucket,,,,,,,,
2024-01-01,di_10,100ms,8,4.22120039457e-07,0.00422144544835,0,86398,daily_bucket,,,,,,,,
2024-01-01,di_10,100ms,9,9.31439640463e-07,0.00931481831463,0,86399,daily_bucket,,,,,,,,
2024-01-01,di_10,100ms,10,3.9702036833e-06,0.0397035165984,0,86398,daily_bucket,,,,,,,,
2024-01-01,di_10,100ms,,,,,863985,daily_monotonicity,,1,,,,,,
2024-01-01,di_10,100ms,,,,,863985,daily_top_bottom,0.0775421208904,,,,,,,
2024-01-01,di_5,100ms,1,-3.84787749809e-06,-0.03847740923,0,86399,daily_bucket,,,,,,,,
2024-01-01,di_5,100ms,2,-7.90382921444e-07,-0.00790341573145,0,86399,daily_bucket,,,,,,,,
2024-01-01,di_5,100ms,3,-3.97684763775e-07,-0.0039765703568,0,86398,daily_bucket,,,,,,,,
2024-01-01,di_5,100ms,4,-1.55663716575e-07,-0.00155647904728,0,86399,daily_bucket,,,,,,,,
2024-01-01,di_5,100ms,5,-5.03579065386e-08,-0.000503395666105,0,86398,daily_bucket,,,,,,,,
2024-01-01,di_5,100ms,6,1.64529638707e-07,0.0016455313902,0,86399,daily_bucket,,,,,,,,
2024-01-01,di_5,100ms,7,2.33865388159e-07,0.00233885062259,0,86398,daily_bucket,,,,,,,,
2024-01-01,di_5,100ms,8,4.12815663233e-07,0.00412842035018,0,86398,daily_bucket,,,,,,,,
2024-01-01,di_5,100ms,9,8.5044893657e-07,0.00850490234174,0,86399,daily_bucket,,,,,,,,
2024-01-01,di_5,100ms,10,4.08803570166e-06,0.0408818666334,0,86398,daily_bucket,,,,,,,,
2024-01-01,di_5,100ms,,,,,863985,daily_monotonicity,,1,,,,,,
2024-01-01,di_5,100ms,,,,,863985,daily_top_bottom,0.0793592758634,,,,,,,
2024-01-01,microprice_deviation_bps,100ms,1,-3.84823922164e-06,-0.0384809629848,0,86399,daily_bucket,,,,,,,,
2024-01-01,microprice_deviation_bps,100ms,2,-7.51292409779e-07,-0.00751248813279,0,86399,daily_bucket,,,,,,,,
2024-01-01,microprice_deviation_bps,100ms,3,-3.17470567906e-07,-0.00317449350597,0,86398,daily_bucket,,,,,,,,
2024-01-01,microprice_deviation_bps,100ms,4,-1.35470472351e-07,-0.00135454177681,0,86399,daily_bucket,,,,,,,,
2024-01-01,microprice_deviation_bps,100ms,5,-4.88382425141e-08,-0.000488195671685,0,86398,daily_bucket,,,,,,,,
2024-01-01,microprice_deviation_bps,100ms,6,1.09482057839e-07,0.00109500804894,0,86399,daily_bucket,,,,,,,,
2024-01-01,microprice_deviation_bps,100ms,7,1.87861592432e-07,0.00187877827602,0,86398,daily_bucket,,,,,,,,
2024-01-01,microprice_deviation_bps,100ms,8,3.59788747755e-07,0.00359814641033,0,86398,daily_bucket,,,,,,,,
2024-01-01,microprice_deviation_bps,100ms,9,7.36625285748e-07,0.00736662382675,0,86399,daily_bucket,,,,,,,,
2024-01-01,microprice_deviation_bps,100ms,10,4.21528302492e-06,0.0421544395424,0,86398,daily_bucket,,,,,,,,
2024-01-01,microprice_deviation_bps,100ms,,,,,863985,daily_monotonicity,,1,,,,,,
2024-01-01,microprice_deviation_bps,100ms,,,,,863985,daily_top_bottom,0.0806354025272,,,,,,,
2024-01-01,ofi_100ms,100ms,1,-3.14260843839e-06,-0.0314248029823,0,86399,daily_bucket,,,,,,,,
2024-01-01,ofi_100ms,100ms,2,-3.91785937355e-07,-0.00391742236336,0,86399,daily_bucket,,,,,,,,
2024-01-01,ofi_100ms,100ms,3,-4.35928060708e-08,-0.00043564362804,0,86398,daily_bucket,,,,,,,,
2024-01-01,ofi_100ms,100ms,4,-2.62741701418e-08,-0.000262542171349,0,86399,daily_bucket,,,,,,,,
2024-01-01,ofi_100ms,100ms,5,4.12606022473e-08,0.0004127159687,0,86398,daily_bucket,,,,,,,,
2024-01-01,ofi_100ms,100ms,6,-2.59216779442e-08,-0.000259045061672,0,86399,daily_bucket,,,,,,,,
2024-01-01,ofi_100ms,100ms,7,5.9217900485e-08,0.000592633325039,0,86399,daily_bucket,,,,,,,,
2024-01-01,ofi_100ms,100ms,8,1.43773946273e-07,0.00143797577246,0,86398,daily_bucket,,,,,,,,
2024-01-01,ofi_100ms,100ms,9,5.16738640304e-07,0.00516782261435,0,86399,daily_bucket,,,,,,,,
2024-01-01,ofi_100ms,100ms,10,3.37695065577e-06,0.0337709117772,0,86397,daily_bucket,,,,,,,,
2024-01-01,ofi_100ms,100ms,,,,,863985,daily_monotonicity,,0.987878787879,,,,,,
2024-01-01,ofi_100ms,100ms,,,,,863985,daily_top_bottom,0.0651957147594,,,,,,,
2024-01-01,qi_1,100ms,1,-3.82825289e-06,-0.0382811913714,0,86399,daily_bucket,,,,,,,,
2024-01-01,qi_1,100ms,2,-7.52486538855e-07,-0.00752441970011,0,86399,daily_bucket,,,,,,,,
2024-01-01,qi_1,100ms,3,-3.49323928663e-07,-0.00349298248053,0,86398,daily_bucket,,,,,,,,
2024-01-01,qi_1,100ms,4,-1.25630665976e-07,-0.00125613247806,0,86399,daily_bucket,,,,,,,,
2024-01-01,qi_1,100ms,5,-4.43413602103e-08,-0.000443195856687,0,86398,daily_bucket,,,,,,,,
2024-01-01,qi_1,100ms,6,1.11418473081e-07,0.00111439639252,0,86399,daily_bucket,,,,,,,,
2024-01-01,qi_1,100ms,7,2.19563637791e-07,0.00219582838894,0,86398,daily_bucket,,,,,,,,
2024-01-01,qi_1,100ms,8,3.7613852941e-07,0.00376165611044,0,86398,daily_bucket,,,,,,,,
2024-01-01,qi_1,100ms,9,7.54339782571e-07,0.00754377560896,0,86399,daily_bucket,,,,,,,,
2024-01-01,qi_1,100ms,10,4.1463041965e-06,0.0414645738303,0,86398,daily_bucket,,,,,,,,
2024-01-01,qi_1,100ms,,,,,863985,daily_monotonicity,,1,,,,,,
2024-01-01,qi_1,100ms,,,,,863985,daily_top_bottom,0.0797457652017,,,,,,,
2024-01-01,trade_imbalance_100ms,100ms,1,-2.30559720452e-06,-0.0230551356548,0,28305,daily_bucket,,,,,,,,
2024-01-01,trade_imbalance_100ms,100ms,2,-1.3567015104e-06,-0.0135664867333,0,28305,daily_bucket,,,,,,,,
2024-01-01,trade_imbalance_100ms,100ms,3,-1.92970449061e-06,-0.0192961699514,0,28304,daily_bucket,,,,,,,,
