feature,horizon,label,family,expected_sign,valid_days,mean_spearman_ic,median_spearman_ic,std_spearman_ic,min_spearman_ic,max_spearman_ic,positive_days,negative_days,zero_days,sign_consistency,t_stat,raw_p_value,sign_test_p_value,mean_pearson_ic,median_pearson_ic,mean_paired_coverage,min_paired_coverage,total_paired_rows,fdr_q_value
qi_1,100ms,ret_fwd_100ms,state,positive,24,0.274220699858,0.288359356867,0.067851499593,0.122810452079,0.375819425675,24,0,0,1,19.7991435883,6.02514859078e-16,1.19209289551e-07,0.167605462004,0.168787226647,0.999987798808,0.999938656413,20735404,8.86684749663e-16
di_5,100ms,ret_fwd_100ms,state,positive,24,0.272027736437,0.289227251931,0.0663919775272,0.121104012564,0.375364471859,24,0,0,1,20.0725803018,4.468463653e-16,1.19209289551e-07,0.168830413756,0.17284796,0.999987798808,0.999938656413,20735404,7.05546892579e-16
di_10,100ms,ret_fwd_100ms,state,positive,24,0.267901537142,0.285890200109,0.0641613554552,0.119223625107,0.372654350359,24,0,0,1,20.4553679594,2.95852422293e-16,1.19209289551e-07,0.168179274589,0.173517323928,0.999987798808,0.999938656413,20735404,5.31024793831e-16
microprice_deviation_bps,100ms,ret_fwd_100ms,state,positive,24,0.274801155684,0.289459499763,0.0682335869673,0.12341806257,0.37390420665,24,0,0,1,19.7299494888,6.50235483086e-16,1.19209289551e-07,0.067009430109,0.0705741462598,0.999987798808,0.999938656413,20735404,8.86684749663e-16
ofi_100ms,100ms,ret_fwd_100ms,matched_flow,positive,24,0.209496943232,0.224511645676,0.0663645220945,0.0799855254305,0.32104261077,24,0,0,1,15.4649079778,1.20484537807e-13,1.19209289551e-07,0.191671312943,0.195416938948,0.999987798808,0.999938656413,20735404,1.50605672259e-13
trade_imbalance_100ms,100ms,ret_fwd_100ms,matched_flow,positive,24,0.239966347879,0.248427445908,0.0595120315289,0.121764688097,0.325340729553,24,0,0,1,19.7538243156,6.33340252436e-16,1.19209289551e-07,0.195296755192,0.201330325815,0.333375869012,0.236068431268,6912763,8.86684749663e-16
qi_1,500ms,ret_fwd_500ms,state,positive,24,0.388269582653,0.401245123455,0.0649767753302,0.219763245747,0.474693598858,24,0,0,1,29.2739168822,1.04755532942e-19,1.19209289551e-07,0.245549370577,0.24330545399,0.999980854244,0.999924767299,20735260,2.79123014305e-19
di_5,500ms,ret_fwd_500ms,state,positive,24,0.385965376552,0.397213089088,0.0645894748109,0.215742839513,0.47232595459,24,0,0,1,29.2746839544,1.04694002509e-19,1.19209289551e-07,0.246389444015,0.243976582547,0.999980854244,0.999924767299,20735260,2.79123014305e-19
di_10,500ms,ret_fwd_500ms,state,positive,24,0.381461137212,0.389074095376,0.063472043078,0.210850824466,0.469010296291,24,0,0,1,29.4424158278,9.21038192548e-20,1.19209289551e-07,0.245435643477,0.243700953072,0.999980854244,0.999924767299,20735260,2.79123014305e-19
microprice_deviation_bps,500ms,ret_fwd_500ms,state,positive,24,0.388385590517,0.401619036559,0.0651812040416,0.22007603409,0.473976629291,24,0,0,1,29.1908237721,1.11649205722e-19,1.19209289551e-07,0.0507494113796,0.0505207211705,0.999980854244,0.999924767299,20735260,2.79123014305e-19
ofi_500ms,500ms,ret_fwd_500ms,matched_flow,positive,24,0.280430544085,0.300362545778,0.067214170024,0.117957506743,0.373878913861,24,0,0,1,20.4394918825,3.00914049838e-16,1.19209289551e-07,0.208023227494,0.211137516957,0.999980854244,0.999924767299,20735260,5.31024793831e-16
trade_imbalance_500ms,500ms,ret_fwd_500ms,matched_flow,positive,24,0.154702639301,0.167710744706,0.0362779826915,0.076999699402,0.2051041795,24,0,0,1,20.8910474087,1.86587265014e-16,1.19209289551e-07,0.129037868082,0.134595608618,0.804510825002,0.69552148631,16682056,3.73174530027e-16
qi_1,1s,ret_fwd_1s,state,positive,24,0.42594016798,0.436440819559,0.0532881900217,0.281563591184,0.50632479166,24,0,0,1,39.1582477124,1.47879286465e-22,1.19209289551e-07,0.273424674565,0.275244488479,0.999973379198,0.999907405907,20735105,1.43266718399e-21
di_5,1s,ret_fwd_1s,state,positive,24,0.423856399239,0.434373451022,0.0533034928735,0.276763706318,0.50404943589,24,0,0,1,38.9554922719,1.6634991803e-22,1.19209289551e-07,0.274047295173,0.275951523647,0.999973379198,0.999907405907,20735105,1.43266718399e-21
di_10,1s,ret_fwd_1s,state,positive,24,0.419643040786,0.430493091855,0.0530965769364,0.270540414679,0.501448569849,24,0,0,1,38.7185533737,1.91022291198e-22,1.19209289551e-07,0.273046948017,0.273771259443,0.999973379198,0.999907405907,20735105,1.43266718399e-21
microprice_deviation_bps,1s,ret_fwd_1s,state,positive,24,0.425846205195,0.436006868485,0.0533900192822,0.281761752958,0.505806772477,24,0,0,1,39.0749404346,1.5519515756e-22,1.19209289551e-07,0.0429266755563,0.0424334350593,0.999973379198,0.999907405907,20735105,1.43266718399e-21
ofi_1s,1s,ret_fwd_1s,matched_flow,positive,24,0.310249686469,0.319160414348,0.0567219220516,0.15607885495,0.379828724829,24,0,0,1,26.7957571683,7.57747879584e-19,1.19209289551e-07,0.215803864902,0.216037189705,0.999973379198,0.999907405907,20735105,1.74864895289e-18
trade_imbalance_1s,1s,ret_fwd_1s,matched_flow,positive,24,0.169690745627,0.175352972873,0.0341770355162,0.0969455954894,0.219257608215,24,0,0,1,24.3236860412,6.52653325856e-18,1.19209289551e-07,0.127503722998,0.126274527067,0.94520405165,0.889780229447,19599425,1.39854284112e-17
qi_1,5s,ret_fwd_5s,state,positive,24,0.40293871082,0.406394621816,0.0630384788911,0.252437074343,0.516344798112,24,0,0,1,31.3140245921,2.30709861353e-20,1.19209289551e-07,0.278245505781,0.287459075917,0.999922452451,0.999828700928,20734049,1.08824903681e-19
