model,feature_set,mean_delta_daily_ic,median_delta_daily_ic,min_delta_daily_ic,max_delta_daily_ic,positive_lift_days,negative_lift_days
lightgbm_regression,core_independent_microstructure,0.00502243518434,0.00498025879287,-0.00122501618755,0.0115030072751,11,1
lightgbm_regression,extended_book_flow,0.00791324806945,0.00832294095587,0.00177382728405,0.0149799477797,12,0
lightgbm_regression,qi_ofi,0.00484766312093,0.00421298509425,-0.00163878344482,0.0104240363204,11,1
lightgbm_regression,qi_only,-0.000527958901174,-0.000442314046232,-0.00106403495107,-0.000173262767878,0,12
lightgbm_regression,qi_trade_imbalance,-0.000462049415923,-0.000870394632239,-0.00367865970146,0.00370635373454,5,7
lightgbm_regression,reference_ofi_only,-0.126615688925,-0.125010883049,-0.149519994491,-0.106811190798,0,12
lightgbm_regression,reference_trade_imbalance_only,-0.230983507683,-0.22975508204,-0.281425172623,-0.187487472486,0,12
null_mean,qi_only,,,,,0,0
qi_linear,qi_only,0,0,0,0,0,0
ridge,core_independent_microstructure,-0.00282559831936,-0.00164795994189,-0.0140168748516,0.00332666291212,5,7
ridge,extended_book_flow,-0.00523296535858,-0.00317150176386,-0.0211176808938,0.00105158727654,3,9
ridge,qi_ofi,-0.00138984626185,0.00109173885663,-0.0126242901531,0.00503753979314,7,5
ridge,qi_only,0,0,0,0,0,0
ridge,qi_trade_imbalance,-0.0047744391767,-0.00488199914097,-0.00935251594666,-0.000603038371842,0,12
ridge,reference_ofi_only,-0.126455260479,-0.124799327245,-0.149363852004,-0.106789059041,0,12
ridge,reference_trade_imbalance_only,-0.265668016998,-0.267373369087,-0.310833610389,-0.217503198097,0,12
