model,feature_set,decile,mean_predicted_probability,observed_up_rate,count
logistic_qi,qi_only,1,0.182880884851,0.125329178371,91136
logistic_qi,qi_only,2,0.214569470606,0.236328125,91136
logistic_qi,qi_only,3,0.272109846919,0.315583304073,91136
logistic_qi,qi_only,4,0.354052926314,0.400632022472,91136
logistic_qi,qi_only,5,0.452200098965,0.47126789927,91135
logistic_qi,qi_only,6,0.551910948496,0.541509392556,91136
logistic_qi,qi_only,7,0.649653187005,0.612238851826,91136
logistic_qi,qi_only,8,0.731117612588,0.688827686096,91136
logistic_qi,qi_only,9,0.788073746272,0.766546699438,91136
logistic_qi,qi_only,10,0.820982283277,0.876106874417,91135
logistic_core,core_independent_microstructure,1,0.175039436324,0.136071365871,91136
logistic_core,core_independent_microstructure,2,0.219637977601,0.226507636938,91136
logistic_core,core_independent_microstructure,3,0.277312828345,0.314134919242,91136
logistic_core,core_independent_microstructure,4,0.358647126948,0.400324789326,91136
logistic_core,core_independent_microstructure,5,0.45375699205,0.471443462994,91135
logistic_core,core_independent_microstructure,6,0.550359069506,0.541904406601,91136
logistic_core,core_independent_microstructure,7,0.645280710905,0.613204441713,91136
logistic_core,core_independent_microstructure,8,0.725853705341,0.689464097612,91136
logistic_core,core_independent_microstructure,9,0.78335372079,0.777815572331,91136
logistic_core,core_independent_microstructure,10,0.82726533243,0.863499204477,91135
lightgbm_classifier,core_independent_microstructure,1,0.112686412548,0.123913711376,91136
lightgbm_classifier,core_independent_microstructure,2,0.221385409555,0.235450316011,91136
lightgbm_classifier,core_independent_microstructure,3,0.314052570694,0.313937412219,91136
lightgbm_classifier,core_independent_microstructure,4,0.39733862734,0.400368679775,91136
lightgbm_classifier,core_independent_microstructure,5,0.463210330054,0.474855982883,91135
lightgbm_classifier,core_independent_microstructure,6,0.532984565756,0.538217608848,91136
lightgbm_classifier,core_independent_microstructure,7,0.609210195647,0.614422401685,91136
lightgbm_classifier,core_independent_microstructure,8,0.691067592225,0.687785287921,91136
lightgbm_classifier,core_independent_microstructure,9,0.781531934281,0.769509304775,91136
lightgbm_classifier,core_independent_microstructure,10,0.890909355808,0.875909365227,91135
