model,feature_set,feature,importance_type,importance
lightgbm_regression,qi_only,qi_1,lightgbm_gain,0.00349798490666
lightgbm_regression,qi_only,qi_1,lightgbm_split,608
lightgbm_regression,qi_only,qi_1,permutation_neg_mse,4.01479196402e-10
lightgbm_regression,qi_ofi,qi_1,lightgbm_gain,0.00339655383664
lightgbm_regression,qi_ofi,qi_1,lightgbm_split,577
lightgbm_regression,qi_ofi,ofi_1s,lightgbm_gain,0.000691849194033
lightgbm_regression,qi_ofi,ofi_1s,lightgbm_split,346
lightgbm_regression,qi_ofi,qi_1,permutation_neg_mse,2.07142316411e-10
lightgbm_regression,qi_ofi,ofi_1s,permutation_neg_mse,4.45889152068e-12
lightgbm_regression,qi_trade_imbalance,qi_1,lightgbm_gain,0.00368048597572
lightgbm_regression,qi_trade_imbalance,qi_1,lightgbm_split,487
lightgbm_regression,qi_trade_imbalance,trade_imbalance_1s,lightgbm_gain,9.89824385214e-05
lightgbm_regression,qi_trade_imbalance,trade_imbalance_1s,lightgbm_split,647
lightgbm_regression,qi_trade_imbalance,qi_1,permutation_neg_mse,3.02248006434e-10
lightgbm_regression,qi_trade_imbalance,trade_imbalance_1s,permutation_neg_mse,1.55601576568e-11
lightgbm_regression,core_independent_microstructure,qi_1,lightgbm_gain,0.00345329307231
lightgbm_regression,core_independent_microstructure,qi_1,lightgbm_split,457
lightgbm_regression,core_independent_microstructure,ofi_1s,lightgbm_gain,0.00067732634154
lightgbm_regression,core_independent_microstructure,ofi_1s,lightgbm_split,269
lightgbm_regression,core_independent_microstructure,trade_imbalance_1s,lightgbm_gain,4.56541119061e-05
lightgbm_regression,core_independent_microstructure,trade_imbalance_1s,lightgbm_split,426
lightgbm_regression,core_independent_microstructure,qi_1,permutation_neg_mse,2.00519997258e-10
lightgbm_regression,core_independent_microstructure,ofi_1s,permutation_neg_mse,-4.5952198127e-12
lightgbm_regression,core_independent_microstructure,trade_imbalance_1s,permutation_neg_mse,-4.13656460706e-12
lightgbm_regression,extended_book_flow,qi_1,lightgbm_gain,0.00151086327373
lightgbm_regression,extended_book_flow,qi_1,lightgbm_split,254
lightgbm_regression,extended_book_flow,di_5,lightgbm_gain,0.00198259767181
lightgbm_regression,extended_book_flow,di_5,lightgbm_split,197
lightgbm_regression,extended_book_flow,di_10,lightgbm_gain,5.73015690548e-06
lightgbm_regression,extended_book_flow,di_10,lightgbm_split,51
lightgbm_regression,extended_book_flow,ofi_1s,lightgbm_gain,0.00029563663458
lightgbm_regression,extended_book_flow,ofi_1s,lightgbm_split,262
lightgbm_regression,extended_book_flow,trade_imbalance_1s,lightgbm_gain,3.62001469372e-05
lightgbm_regression,extended_book_flow,trade_imbalance_1s,lightgbm_split,299
lightgbm_regression,extended_book_flow,spread_bps,lightgbm_gain,1.52794839634e-05
lightgbm_regression,extended_book_flow,spread_bps,lightgbm_split,46
lightgbm_regression,extended_book_flow,realized_vol_5s,lightgbm_gain,0
lightgbm_regression,extended_book_flow,realized_vol_5s,lightgbm_split,0
lightgbm_regression,extended_book_flow,mom_1s,lightgbm_gain,6.81178780969e-05
lightgbm_regression,extended_book_flow,mom_1s,lightgbm_split,228
lightgbm_regression,extended_book_flow,book_update_count_1s,lightgbm_gain,0
lightgbm_regression,extended_book_flow,book_update_count_1s,lightgbm_split,0
lightgbm_regression,extended_book_flow,trade_count_1s,lightgbm_gain,0.000552793258748
lightgbm_regression,extended_book_flow,trade_count_1s,lightgbm_split,29
lightgbm_regression,extended_book_flow,qi_1,permutation_neg_mse,2.74976833753e-11
lightgbm_regression,extended_book_flow,di_5,permutation_neg_mse,3.5144295148e-11
lightgbm_regression,extended_book_flow,di_10,permutation_neg_mse,-3.34197614088e-12
lightgbm_regression,extended_book_flow,ofi_1s,permutation_neg_mse,-6.68968629212e-12
lightgbm_regression,extended_book_flow,trade_imbalance_1s,permutation_neg_mse,-2.45873986587e-12
lightgbm_regression,extended_book_flow,spread_bps,permutation_neg_mse,4.74409825951e-12
lightgbm_regression,extended_book_flow,realized_vol_5s,permutation_neg_mse,0
lightgbm_regression,extended_book_flow,mom_1s,permutation_neg_mse,7.24469375578e-12
lightgbm_regression,extended_book_flow,book_update_count_1s,permutation_neg_mse,0
lightgbm_regression,extended_book_flow,trade_count_1s,permutation_neg_mse,-1.99071545674e-13
lightgbm_regression,reference_ofi_only,ofi_1s,lightgbm_gain,0.00243729171516
lightgbm_regression,reference_ofi_only,ofi_1s,lightgbm_split,542
lightgbm_regression,reference_ofi_only,ofi_1s,permutation_neg_mse,1.62819090429e-10
lightgbm_regression,reference_trade_imbalance_only,trade_imbalance_1s,lightgbm_gain,0.000934021528742
lightgbm_regression,reference_trade_imbalance_only,trade_imbalance_1s,lightgbm_split,707
lightgbm_regression,reference_trade_imbalance_only,trade_imbalance_1s,permutation_neg_mse,8.60412172185e-11
