model,feature_set,status,skip_reason,spearman_ic,pearson_corr,mae,rmse,r2,sign_accuracy_nonzero,prediction_mean,prediction_std,target_mean,target_std,row_count,feature_count,output_feature_count,mean_daily_spearman_ic,median_daily_spearman_ic,std_daily_spearman_ic,min_daily_spearman_ic,max_daily_spearman_ic,positive_day_count
null_mean,qi_only,fit,,,1.60777762243e-17,1.64722885467e-05,5.23525689637e-05,-2.82181892741e-06,0.50187437416,-3.99480221352e-08,5.95570041038e-23,4.79951154056e-08,5.23524950991e-05,1036771,1,0,,,,,,0
qi_linear,qi_only,fit,,0.424256903031,0.274089676645,2.58063362782e-05,5.04536935018e-05,0.0712236255846,0.867339596343,1.42662314411e-07,1.76179593988e-05,4.79951154056e-08,5.23524950991e-05,1036771,1,1,0.422257816627,0.423176669619,0.0568248993929,0.339597576062,0.508338767833,12
ridge,qi_only,fit,,0.424256903031,0.274089676645,2.58063266482e-05,5.04536924006e-05,0.0712236661297,0.867339596343,1.42662138274e-07,1.76179424054e-05,4.79951154056e-08,5.23524950991e-05,1036771,1,1,0.422257816627,0.423176669619,0.0568248993929,0.339597576062,0.508338767833,12
lightgbm_regression,qi_only,fit,,0.42378965088,0.304672742346,2.38893084921e-05,4.99495210366e-05,0.0896929908978,0.867324500712,9.23185370182e-08,1.88801411155e-05,4.79951154056e-08,5.23524950991e-05,1036771,1,1,0.421729857726,0.422518403626,0.0567018672947,0.339424313294,0.507398360517,12
ridge,qi_ofi,fit,,0.425484489731,0.29210600862,2.47601060354e-05,5.01528978316e-05,0.0822650027621,0.868139664776,5.19552131365e-08,1.81889067488e-05,4.79951154056e-08,5.23524950991e-05,1036771,2,2,0.420867970365,0.417681353483,0.0527324552596,0.342824433379,0.504698488027,12
lightgbm_regression,qi_ofi,fit,,0.433276264247,0.324000013821,2.26673599238e-05,4.95859078916e-05,0.102898115322,0.869392602135,7.94596668424e-08,1.93484335751e-05,4.79951154056e-08,5.23524950991e-05,1036771,2,2,0.427105479748,0.424204971703,0.0550326272714,0.346273031341,0.510658941224,12
ridge,qi_trade_imbalance,fit,,0.420059602767,0.278393100344,2.57005510234e-05,5.03865633398e-05,0.0736935113619,0.866016212708,1.70468124167e-07,1.78033832431e-05,4.79951154056e-08,5.23524950991e-05,1036771,2,3,0.41748337745,0.417869943279,0.0570034663545,0.335931438346,0.505110956502,12
lightgbm_regression,qi_trade_imbalance,fit,,0.425977446718,0.314499313347,2.31590598326e-05,4.97610067174e-05,0.0965511978971,0.867133289388,1.65424132324e-08,1.90071609973e-05,4.79951154056e-08,5.23524950991e-05,1036771,2,2,0.421795767211,0.422866069868,0.0575493662681,0.336582456059,0.509461236193,12
ridge,core_independent_microstructure,fit,,0.424130904115,0.293068667404,2.47548944531e-05,5.0136789135e-05,0.0828544458878,0.867797497144,7.34321032337e-08,1.8226810401e-05,4.79951154056e-08,5.23524950991e-05,1036771,3,4,0.419432218308,0.41638358106,0.0534710532423,0.341368369301,0.504958007089,12
lightgbm_regression,core_independent_microstructure,fit,,0.433731984215,0.326699594223,2.25404128719e-05,4.95307814248e-05,0.104891688471,0.869644195982,3.33400353158e-08,1.93497343041e-05,4.79951154056e-08,5.23524950991e-05,1036771,3,3,0.427280251811,0.424814767587,0.0554316858851,0.345339006243,0.511089921994,12
ridge,extended_book_flow,fit,,0.421749554963,0.292031372923,2.47378977079e-05,5.01499005489e-05,0.0823746924973,0.866167169016,-7.38773826572e-08,1.81089137082e-05,4.79951154056e-08,5.23524950991e-05,1036771,10,13,0.417024851268,0.412247969941,0.0528337686179,0.34046023383,0.501449530276,12
lightgbm_regression,extended_book_flow,fit,,0.437010448125,0.337969588481,2.17870943295e-05,4.9273301211e-05,0.114173740143,0.870892101463,4.16952236292e-07,1.76838195279e-05,4.79951154056e-08,5.23524950991e-05,1036771,10,10,0.430171064696,0.427267854648,0.056481941871,0.347225394612,0.513657943041,12
ridge,reference_ofi_only,fit,,0.306397317219,0.211496229308,1.90291584363e-05,5.12241193885e-05,0.0426423048781,0.75527969688,-1.41262897402e-07,1.34572866491e-05,4.79951154056e-08,5.23524950991e-05,1036771,1,1,0.295802556148,0.291717945632,0.0549225432668,0.222837942079,0.380992622989,12
lightgbm_regression,reference_ofi_only,fit,,0.306288075994,0.236250384466,2.12576379923e-05,5.08910097948e-05,0.0550531816117,0.756638303654,-7.91696883181e-08,1.38069551407e-05,4.79951154056e-08,5.23524950991e-05,1036771,1,1,0.295642127702,0.291725575048,0.0547633827126,0.223016629191,0.380700723255,12
ridge,reference_trade_imbalance_only,fit,,0.155957509212,0.119690178047,2.2365583108e-05,5.20355581513e-05,0.0120711570448,0.679514725788,4.63136191707e-08,8.75190286006e-06,4.79951154056e-08,5.23524950991e-05,1036771,1,2,0.156589799629,0.154385701329,0.0334778890064,0.10607953201,0.201013488187,12
lightgbm_regression,reference_trade_imbalance_only,fit,,0.194253695881,0.142599396297,2.14701197603e-05,5.18466448521e-05,0.0192314190497,0.679509693911,-1.87243473473e-07,9.18828353601e-06,4.79951154056e-08,5.23524950991e-05,1036771,1,1,0.191274308944,0.186649915998,0.0357356777693,0.135885508558,0.241440394129,12
