window,fold_id,validation_date,model,feature_set,feature,importance_type,importance
expanding,1,2024-07-01,lightgbm_qi_ofi,qi_ofi,qi_1,gain,0.00156053934383
expanding,1,2024-07-01,lightgbm_qi_ofi,qi_ofi,qi_1,split,465
expanding,1,2024-07-01,lightgbm_qi_ofi,qi_ofi,ofi_1s,gain,0.000325910845707
expanding,1,2024-07-01,lightgbm_qi_ofi,qi_ofi,ofi_1s,split,280
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,qi_1,gain,0.000472629435827
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,qi_1,split,258
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,di_5,gain,0.00111766316355
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,di_5,split,160
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,di_10,gain,1.88154480429e-06
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,di_10,split,45
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,ofi_1s,gain,0.000238173131927
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,ofi_1s,split,198
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,trade_imbalance_1s,gain,2.54831530895e-05
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,trade_imbalance_1s,split,341
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,spread_bps,gain,1.45934886788e-05
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,spread_bps,split,49
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,realized_vol_5s,gain,0
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,realized_vol_5s,split,0
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,mom_1s,gain,1.21977487746e-05
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,mom_1s,split,147
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,book_update_count_1s,gain,0
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,book_update_count_1s,split,0
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,trade_count_1s,gain,0.000159688569674
expanding,1,2024-07-01,lightgbm_extended,extended_book_flow,trade_count_1s,split,15
expanding,2,2024-08-01,lightgbm_qi_ofi,qi_ofi,qi_1,gain,0.00175677071311
expanding,2,2024-08-01,lightgbm_qi_ofi,qi_ofi,qi_1,split,507
expanding,2,2024-08-01,lightgbm_qi_ofi,qi_ofi,ofi_1s,gain,0.000339018994338
expanding,2,2024-08-01,lightgbm_qi_ofi,qi_ofi,ofi_1s,split,296
expanding,2,2024-08-01,lightgbm_extended,extended_book_flow,qi_1,gain,0.000583946493738
expanding,2,2024-08-01,lightgbm_extended,extended_book_flow,qi_1,split,252
expanding,2,2024-08-01,lightgbm_extended,extended_book_flow,di_5,gain,0.00120288336804
expanding,2,2024-08-01,lightgbm_extended,extended_book_flow,di_5,split,170
expanding,2,2024-08-01,lightgbm_extended,extended_book_flow,di_10,gain,3.34604441108e-06
expanding,2,2024-08-01,lightgbm_extended,extended_book_flow,di_10,split,44
expanding,2,2024-08-01,lightgbm_extended,extended_book_flow,ofi_1s,gain,0.000261940972619
expanding,2,2024-08-01,lightgbm_extended,extended_book_flow,ofi_1s,split,237
expanding,2,2024-08-01,lightgbm_extended,extended_book_flow,trade_imbalance_1s,gain,2.57473886851e-05
expanding,2,2024-08-01,lightgbm_extended,extended_book_flow,trade_imbalance_1s,split,338
expanding,2,2024-08-01,lightgbm_extended,extended_book_flow,spread_bps,gain,8.349090308e-08
expanding,2,2024-08-01,lightgbm_extended,extended_book_flow,spread_bps,split,1
expanding,2,2024-08-01,lightgbm_extended,extended_book_flow,realized_vol_5s,gain,0
expanding,2,2024-08-01,lightgbm_extended,extended_book_flow,realized_vol_5s,split,0
