window,validation_date,delta_ic_qi_ofi,delta_ic_extended,ofi_increment,extended_increment,cumulative_mean_delta_qi_ofi,cumulative_mean_delta_extended
expanding,2024-07-01,0.0121607454101,0.0154061059403,0.0121607454101,0.00324536053019,0.0121607454101,0.0154061059403
expanding,2024-08-01,0.00775667893166,0.0116932262047,0.00775667893166,0.00393654727304,0.00995871217087,0.0135496660725
expanding,2024-09-01,0.00624847491955,0.00742886711037,0.00624847491955,0.00118039219082,0.00872196642043,0.0115093997518
expanding,2024-10-01,0.0143861048244,0.0211357997698,0.0143861048244,0.00674969494543,0.0101380010214,0.0139159997563
expanding,2024-11-01,0.00484895390364,0.00634279528096,0.00484895390364,0.00149384137732,0.00908019159787,0.0124013588612
expanding,2024-12-01,0.0101971323468,0.0126714301054,0.0101971323468,0.00247429775864,0.00926634838935,0.0124463707353
expanding,2025-01-01,0.00369538761312,0.00640854277282,0.00369538761312,0.0027131551597,0.00847049684989,0.0115838238835
expanding,2025-02-01,0.00113690459992,0.00544547353729,0.00113690459992,0.00430856893738,0.00755379781864,0.0108165300902
expanding,2025-03-01,0.00231724835067,0.00671282931212,0.00231724835067,0.00439558096145,0.00697195898887,0.0103605633371
expanding,2025-04-01,0.00465994143677,0.00971969172265,0.00465994143677,0.00505975028589,0.00674075723366,0.0102964761756
expanding,2025-05-01,0.010830046199,0.0132062229246,0.010830046199,0.00237617672559,0.00711251077597,0.0105609986074
expanding,2025-06-01,0.00722143545534,0.00780139426705,0.00722143545534,0.000579958811706,0.00712158783258,0.010331031579
expanding,2025-07-01,0.00927280528168,0.0113709291772,0.00927280528168,0.00209812389551,0.0072870660979,0.0104110237019
expanding,2025-08-01,0.0044737555981,0.0113976238525,0.0044737555981,0.00692386825442,0.00708611534791,0.0104814951413
expanding,2025-09-01,0.00668582738183,0.0165323010986,0.00668582738183,0.00984647371675,0.0070594294835,0.0108848822051
expanding,2025-10-01,0.0112708239751,0.0186407425485,0.0112708239751,0.00736991857339,0.00732264163923,0.0113696234766
expanding,2025-11-01,0.00373958044618,0.00701531363669,0.00373958044618,0.00327573319052,0.00711187333376,0.0111134876036
expanding,2025-12-01,-0.00056377521381,0.00444987259421,-0.00056377521381,0.00501364780802,0.00668544841445,0.0107432867698
rolling6,2024-07-01,0.0121607454101,0.0154061059403,0.0121607454101,0.00324536053019,0.0121607454101,0.0154061059403
rolling6,2024-08-01,0.00783767539574,0.0111682377494,0.00783767539574,0.0033305623537,0.00999921040292,0.0132871718449
rolling6,2024-09-01,0.00560228357597,0.00463832000637,0.00560228357597,-0.000963963569604,0.00853356812727,0.010404221232
rolling6,2024-10-01,0.0134185669752,0.019249083633,0.0134185669752,0.00583051665781,0.00975481783925,0.0126154368323
rolling6,2024-11-01,0.00317975632758,0.0065035485031,0.00317975632758,0.00332379217552,0.00843980553692,0.0113930591664
rolling6,2024-12-01,0.00838088673062,0.00945187811477,0.00838088673062,0.00107099138415,0.00842998573587,0.0110695289912
rolling6,2025-01-01,0.00282833199221,0.00397779773576,0.00282833199221,0.00114946574355,0.00762974948677,0.0100564245261
rolling6,2025-02-01,0.000222271385795,0.00122493105505,0.000222271385795,0.00100265966926,0.00670381472415,0.00895248784222
rolling6,2025-03-01,0.00308499210163,0.00465810733557,0.00308499210163,0.00157311523393,0.00630172332165,0.00847533445259
rolling6,2025-04-01,0.00447186849301,0.00626871837547,0.00447186849301,0.00179684988246,0.00611873783879,0.00825467284488
rolling6,2025-05-01,0.0110472435409,0.0115217515453,0.0110472435409,0.000474508004459,0.0065667838117,0.00855167999947
rolling6,2025-06-01,0.00786414012315,0.00771893542936,0.00786414012315,-0.000145204693783,0.00667489683766,0.00848228461863
rolling6,2025-07-01,0.00989216717696,0.00885625489834,0.00989216717696,-0.00103591227862,0.00692237917145,0.00851105156322
rolling6,2025-08-01,0.00603950346962,0.00674227706571,0.00603950346962,0.000702773596088,0.00685931662132,0.00838471052768
rolling6,2025-09-01,0.00853887691334,0.01022612457,0.00853887691334,0.00168724765665,0.00697128730745,0.00850747146384
rolling6,2025-10-01,0.0122305087252,0.0131928998683,0.0122305087252,0.000962391143168,0.00729998864606,0.00880031073912
rolling6,2025-11-01,0.00478544436107,0.00497962664509,0.00478544436107,0.000194182284018,0.00715207427635,0.00857556461594
rolling6,2025-12-01,-0.000738891848751,0.00108113933079,-0.000738891848751,0.00182003117954,0.0067136872694,0.00815920765565
