window,fold_id,validation_date,period,model,feature_set,train_start_date,train_end_date,train_date_count,train_row_count,spearman_ic,pearson_corr,mae,rmse,r2,sign_accuracy_nonzero,prediction_mean,prediction_std,target_mean,target_std,row_count
expanding,1,2024-07-01,2024_H2,qi_direct_baseline,qi_only,2024-01-01,2024-06-01,6,518369,0.439093458377,0.291046009873,2.37992789291e-05,4.70657790794e-05,0.0818819988653,0.910069021518,-7.71492182642e-07,1.67838737805e-05,2.15346817493e-08,4.91197333689e-05,86398
expanding,1,2024-07-01,2024_H2,lightgbm_qi_ofi,qi_ofi,2024-01-01,2024-06-01,6,518369,0.451254203787,0.32515710269,2.09284904661e-05,4.65486657491e-05,0.101945956308,0.91500879686,-5.88206244424e-07,1.89298836621e-05,2.15346817493e-08,4.91197333689e-05,86398
expanding,1,2024-07-01,2024_H2,lightgbm_extended,extended_book_flow,2024-01-01,2024-06-01,6,518369,0.454499564317,0.330968753305,2.10210695413e-05,4.64610129626e-05,0.10532490712,0.914738124239,-9.29466448208e-07,1.93011593747e-05,2.15346817493e-08,4.91197333689e-05,86398
expanding,2,2024-08-01,2024_H2,qi_direct_baseline,qi_only,2024-01-01,2024-07-01,7,604767,0.473792384014,0.317649630124,3.93043697908e-05,7.86771649272e-05,0.0857793352175,0.828570465728,2.89542628826e-07,1.60204640693e-05,1.292975047e-07,8.22854758908e-05,86398
expanding,2,2024-08-01,2024_H2,lightgbm_qi_ofi,qi_ofi,2024-01-01,2024-07-01,7,604767,0.481549062945,0.340120546411,3.74382982571e-05,7.77821683355e-05,0.106460571017,0.828637864797,2.86145115232e-07,2.00868117872e-05,1.292975047e-07,8.22854758908e-05,86398
expanding,2,2024-08-01,2024_H2,lightgbm_extended,extended_book_flow,2024-01-01,2024-07-01,7,604767,0.485485610218,0.346796370314,3.72877016872e-05,7.75848245723e-05,0.110988877317,0.831131630384,2.69433665682e-07,2.06112497813e-05,1.292975047e-07,8.22854758908e-05,86398
expanding,3,2024-09-01,2024_H2,qi_direct_baseline,qi_only,2024-01-01,2024-08-01,8,691165,0.49317958969,0.246689896094,3.11366231221e-05,6.30015927359e-05,0.055218262072,0.884399347708,8.56196579593e-08,2.08383323564e-05,-3.31992410021e-07,6.48165310263e-05,86395
expanding,3,2024-09-01,2024_H2,lightgbm_qi_ofi,qi_ofi,2024-01-01,2024-08-01,8,691165,0.49942806461,0.285027755396,2.87874136275e-05,6.25108197759e-05,0.0698803471757,0.885486501178,6.80508150811e-07,2.53084162691e-05,-3.31992410021e-07,6.48165310263e-05,86395
expanding,3,2024-09-01,2024_H2,lightgbm_extended,extended_book_flow,2024-01-01,2024-08-01,8,691165,0.500608456801,0.293389105428,2.8051520512e-05,6.22222381402e-05,0.0784483320746,0.886075375974,4.81657779784e-07,2.46189727255e-05,-3.31992410021e-07,6.48165310263e-05,86395
expanding,4,2024-10-01,2024_H2,qi_direct_baseline,qi_only,2024-01-01,2024-09-01,9,777560,0.429878964441,0.281318949108,4.03796068601e-05,8.19827917346e-05,0.0729913209089,0.795895096921,2.20900721726e-07,1.73128550996e-05,-4.69612309747e-07,8.51492452924e-05,86397
expanding,4,2024-10-01,2024_H2,lightgbm_qi_ofi,qi_ofi,2024-01-01,2024-09-01,9,777560,0.444265069266,0.312427733193,3.82249112222e-05,8.1049140442e-05,0.0939853489252,0.797380878339,2.29690568754e-08,2.14995159163e-05,-4.69612309747e-07,8.51492452924e-05,86397
expanding,4,2024-10-01,2024_H2,lightgbm_extended,extended_book_flow,2024-01-01,2024-09-01,9,777560,0.451014764211,0.32861988157,3.83269037684e-05,8.05723068956e-05,0.104614637234,0.799350402543,-1.61505037174e-07,2.3043595299e-05,-4.69612309747e-07,8.51492452924e-05,86397
expanding,5,2024-11-01,2024_H2,qi_direct_baseline,qi_only,2024-01-01,2024-10-01,10,863957,0.435637223621,0.275507050418,3.60100317322e-05,7.12646590036e-05,0.0744585361232,0.818308820676,1.42411831202e-07,1.7605346696e-05,-1.31823929443e-07,7.40757865412e-05,86394
expanding,5,2024-11-01,2024_H2,lightgbm_qi_ofi,qi_ofi,2024-01-01,2024-10-01,10,863957,0.440486177524,0.297003553482,3.38189024785e-05,7.07425713553e-05,0.0879699666597,0.819822267065,2.65383577149e-07,2.09212174962e-05,-1.31823929443e-07,7.40757865412e-05,86394
expanding,5,2024-11-01,2024_H2,lightgbm_extended,extended_book_flow,2024-01-01,2024-10-01,10,863957,0.441980018902,0.303655719963,3.30558664773e-05,7.06225292609e-05,0.0910625629289,0.823431254608,-3.32138944345e-08,1.99897514438e-05,-1.31823929443e-07,7.40757865412e-05,86394
expanding,6,2024-12-01,2024_H2,qi_direct_baseline,qi_only,2024-01-01,2024-11-01,11,950351,0.434685035186,0.268568291366,2.05917430628e-05,3.72649902176e-05,0.0309238224802,0.916534601162,-1.73656760405e-06,1.76298388621e-05,9.2930917332e-08,3.78548955989e-05,86398
expanding,6,2024-12-01,2024_H2,lightgbm_qi_ofi,qi_ofi,2024-01-01,2024-11-01,11,950351,0.444882167532,0.311906100545,1.73304449168e-05,3.66091266768e-05,0.0647351082273,0.918119387216,-1.29709335247e-06,1.84938909776e-05,9.2930917332e-08,3.78548955989e-05,86398
expanding,6,2024-12-01,2024_H2,lightgbm_extended,extended_book_flow,2024-01-01,2024-11-01,11,950351,0.447356465291,0.318080098447,1.73427297718e-05,3.65022222809e-05,0.070189373484,0.920760697306,-1.34526176427e-06,1.85473256094e-05,9.2930917332e-08,3.78548955989e-05,86398
expanding,7,2025-01-01,2025_H1,qi_direct_baseline,qi_only,2024-01-01,2024-12-01,12,1036749,0.405693700165,0.250207284457,2.11109328998e-05,3.80052085895e-05,0.0187786248569,0.907346300799,2.76122150292e-07,1.76302675457e-05,1.24962547977e-07,3.83671570913e-05,86399
expanding,7,2025-01-01,2025_H1,lightgbm_qi_ofi,qi_ofi,2024-01-01,2024-12-01,12,1036749,0.409389087778,0.298086559199,1.70058668926e-05,3.7126081664e-05,0.0636483271752,0.911774921848,-1.61146238895e-07,1.75214868562e-05,1.24962547977e-07,3.83671570913e-05,86399
expanding,7,2025-01-01,2025_H1,lightgbm_extended,extended_book_flow,2024-01-01,2024-12-01,12,1036749,0.412102242937,0.309455297957,1.62666414685e-05,3.68594950982e-05,0.0770471326874,0.91281695033,-4.28192814608e-08,1.71190342971e-05,1.24962547977e-07,3.83671570913e-05,86399
expanding,8,2025-02-01,2025_H1,qi_direct_baseline,qi_only,2024-01-01,2025-01-01,13,1123148,0.449520390579,0.276726275343,2.16362338867e-05,3.67516317029e-05,0.0288587556789,0.933684945319,1.835712799e-06,1.82071453935e-05,-2.04706580264e-07,3.72936959886e-05,86399
expanding,8,2025-02-01,2025_H1,lightgbm_qi_ofi,qi_ofi,2024-01-01,2025-01-01,13,1123148,0.450657295179,0.32498747821,1.82583625431e-05,3.59996528081e-05,0.0681934215189,0.935623982006,1.6298252946e-06,1.90973584984e-05,-2.04706580264e-07,3.72936959886e-05,86399
expanding,8,2025-02-01,2025_H1,lightgbm_extended,extended_book_flow,2024-01-01,2025-01-01,13,1123148,0.454965864116,0.333696089471,1.70975440485e-05,3.53997129333e-05,0.0989920395409,0.936942526953,1.7405906799e-06,1.61064265383e-05,-2.04706580264e-07,3.72936959886e-05,86399
expanding,9,2025-03-01,2025_H1,qi_direct_baseline,qi_only,2024-01-01,2025-02-01,14,1209547,0.508338767833,0.330652402731,2.87792476281e-05,5.76301384749e-05,0.103858426284,0.871863873479,2.91563901811e-06,1.65118669515e-05,2.33303543712e-07,6.08781365388e-05,86396
expanding,9,2025-03-01,2025_H1,lightgbm_qi_ofi,qi_ofi,2024-01-01,2025-02-01,14,1209547,0.510656016183,0.365520170389,2.70652399078e-05,5.67227318239e-05,0.131856382336,0.873354309845,2.67171537281e-06,2.15209111915e-05,2.33303543712e-07,6.08781365388e-05,86396
expanding,9,2025-03-01,2025_H1,lightgbm_extended,extended_book_flow,2024-01-01,2025-02-01,14,1209547,0.515051597145,0.377331197818,2.63023368716e-05,5.64889545265e-05,0.138997577342,0.870497640142,2.85161680001e-06,2.05888122903e-05,2.33303543712e-07,6.08781365388e-05,86396
expanding,10,2025-04-01,2025_H1,qi_direct_baseline,qi_only,2024-01-01,2025-03-01,15,1295943,0.482116967734,0.326810537584,2.87601778623e-05,5.54359799687e-05,0.105769311177,0.866515738604,-2.9302789944e-07,1.73882795642e-05,3.59515615211e-07,5.86228521397e-05,86399
expanding,10,2025-04-01,2025_H1,lightgbm_qi_ofi,qi_ofi,2024-01-01,2025-03-01,15,1295943,0.486776909171,0.364674875062,2.70017525655e-05,5.45900146469e-05,0.132853384177,0.867212329662,-1.93183351219e-07,2.17736804324e-05,3.59515615211e-07,5.86228521397e-05,86399
expanding,10,2025-04-01,2025_H1,lightgbm_extended,extended_book_flow,2024-01-01,2025-03-01,15,1295943,0.491836659457,0.377282007613,2.65881130019e-05,5.43038597713e-05,0.14192053233,0.869084418129,-7.90462436745e-07,2.24708968236e-05,3.59515615211e-07,5.86228521397e-05,86399
expanding,11,2025-05-01,2025_H1,qi_direct_baseline,qi_only,2024-01-01,2025-04-01,16,1382342,0.355270535097,0.242197791293,2.23492209937e-05,4.65156903786e-05,0.052735784956,0.855547636018,1.22467595748e-07,1.52504134091e-05,2.81431971398e-07,4.77929574256e-05,86399
